num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward
1,100,0.01,128,15,6.25
10,100,0.1,737,169,68.14516129032258
15,100,0.15,924,204,74.18181818181819
20,100,0.2,1062,226,91.49797570850203
25,100,0.25,1253,208,82.53968253968253
30,100,0.3,1813,237,94.42231075697211
35,100,0.35,1946,251,97.28682170542635
40,100,0.4,2622,240,97.16599190283401
45,100,0.45,2461,252,98.82352941176471
50,100,0.5,3471,226,97.41379310344827
55,100,0.55,3421,236,95.9349593495935
60,100,0.6,4052,249,98.03149606299213
65,100,0.65,4219,241,98.36734693877551
70,100,0.7,4710,247,100.0
75,100,0.75,5237,230,98.29059829059828
1,200,0.005,476,68,13.102119460500964
10,200,0.05,687,259,52.42914979757085
15,200,0.075,858,356,68.8588007736944
20,200,0.1,1241,398,80.73022312373224
25,200,0.125,1387,466,94.71544715447155
30,200,0.15,2083,471,94.38877755511022
35,200,0.175,1895,450,92.02453987730061
40,200,0.2,2470,479,99.58419958419958
45,200,0.225,2905,478,94.84126984126983
50,200,0.25,3190,470,95.52845528455285
55,200,0.275,3435,497,97.64243614931237
60,200,0.3,3852,487,97.39999999999999
65,200,0.325,3869,493,96.4774951076321
70,200,0.35,4267,505,97.11538461538461
75,200,0.375,4689,496,98.21782178217822
1,300,0.0033333333333333335,362,57,7.335907335907336
10,300,0.03333333333333333,777,403,55.12995896032832
15,300,0.05,924,576,74.8051948051948
20,300,0.06666666666666667,1266,625,84.45945945945947
25,300,0.08333333333333333,1403,575,81.44475920679886
30,300,0.1,1491,701,92.60237780713342
35,300,0.11666666666666667,1637,689,91.74434087882824
40,300,0.13333333333333333,2173,708,95.54655870445345
45,300,0.15,2620,696,95.6043956043956
50,300,0.16666666666666666,2891,733,97.99465240641712
55,300,0.18333333333333332,3258,722,97.04301075268818
60,300,0.2,3532,743,98.15059445178336
65,300,0.21666666666666667,3585,685,95.8041958041958
70,300,0.23333333333333334,4089,743,97.37876802096986
75,300,0.25,4353,732,96.82539682539682
1,400,0.0025,617,83,7.919847328244274
10,400,0.025,1071,548,53.778213935230625
15,400,0.0375,1293,701,66.19452313503305
20,400,0.05,1467,783,77.60158572844401
25,400,0.0625,1623,826,80.6640625
30,400,0.075,1757,867,87.84194528875379
35,400,0.0875,1901,909,91.26506024096386
40,400,0.1,2363,863,90.55613850996852
45,400,0.1125,2842,928,89.0595009596929
50,400,0.125,2559,920,92.46231155778895
55,400,0.1375,2822,889,88.19444444444444
60,400,0.15,3345,897,90.78947368421053
65,400,0.1625,3670,930,94.03437815975732
70,400,0.175,4140,951,98.04123711340206
75,400,0.1875,4335,938,93.8
1,500,0.002,528,21,1.6921837228041903
10,500,0.02,1786,624,51.65562913907284
15,500,0.03,1434,763,60.03147128245476
20,500,0.04,1573,847,66.90363349131123
25,500,0.05,1621,964,78.50162866449512
30,500,0.06,1905,942,74.23167848699764
35,500,0.07,2025,1082,87.04746580852776
40,500,0.08,2482,1054,83.9171974522293
45,500,0.09,2675,1151,92.2275641025641
50,500,0.1,2707,1176,93.48171701112878
55,500,0.11,2864,1193,94.98407643312102
60,500,0.12,3485,1156,95.37953795379538
65,500,0.13,3425,1187,94.2811755361398
70,500,0.14,3964,1224,95.77464788732394
75,500,0.15,3883,1225,96.30503144654088
1,699,0.001430615164520744,764,62,3.629976580796253
10,699,0.01430615164520744,1843,714,40.591245025582715
15,699,0.02145922746781116,2359,868,49.17847025495751
20,699,0.02861230329041488,1729,1024,57.04735376044569
25,699,0.0357653791130186,2173,1289,72.98980747451868
30,699,0.04291845493562232,2433,1350,76.4006791171477
35,699,0.05007153075822604,2413,1367,77.2316384180791
40,699,0.05722460658082976,2392,1517,84.9859943977591
45,699,0.06437768240343347,2490,1554,88.64803194523674
50,699,0.0715307582260372,2917,1493,85.11972633979475
55,699,0.07868383404864092,2923,1526,89.13551401869158
60,699,0.08583690987124463,3191,1621,92.41733181299885
65,699,0.09298998569384835,3460,1622,91.53498871331828
70,699,0.10014306151645208,3735,1701,95.347533632287
75,699,0.1072961373390558,3887,1609,93.65541327124564
