start-location,start_time,exit_time
2,1080,1141
44,1081,1153
39,1082,1146
24,1082,1168
24,1084,1147
64,1085,1198
95,1086,1139
86,1086,1133
33,1087,1121
90,1087,1121
86,1087,1206
35,1089,1159
87,1090,1150
7,1091,1162
15,1091,1130
88,1091,1165
57,1092,1198
59,1092,1157
26,1092,1137
23,1093,1135
89,1093,1178
30,1093,1174
42,1094,1152
93,1094,1147
77,1095,1163
27,1095,1214
61,1096,1162
56,1097,1183
67,1097,1158
32,1097,1189
81,1097,1172
80,1097,1135
61,1097,1146
46,1098,1171
27,1099,1182
54,1101,1185
89,1101,1198
81,1102,1181
70,1103,1161
70,1104,1165
57,1106,1202
42,1106,1138
77,1108,1152
68,1108,1221
29,1108,1201
32,1108,1214
23,1109,1200
36,1110,1207
