USERID,VERTEX,TIME,minute
470,38,2012-04-03 18:00:09+00:00,1080
979,13,2012-04-03 18:00:25+00:00,1080
69,38,2012-04-03 18:02:24+00:00,1082
395,44,2012-04-03 18:02:41+00:00,1082
87,43,2012-04-03 18:03:00+00:00,1083
484,32,2012-04-03 18:04:00+00:00,1084
642,46,2012-04-03 18:04:38+00:00,1084
292,52,2012-04-03 18:04:42+00:00,1084
428,15,2012-04-03 18:06:18+00:00,1086
877,15,2012-04-03 18:06:19+00:00,1086
87,44,2012-04-03 18:07:15+00:00,1087
625,44,2012-04-03 18:08:57+00:00,1088
691,38,2012-04-03 18:09:06+00:00,1089
116,43,2012-04-03 18:09:29+00:00,1089
931,35,2012-04-03 18:09:59+00:00,1089
53,71,2012-04-03 18:10:04+00:00,1090
445,63,2012-04-03 18:10:39+00:00,1090
135,46,2012-04-03 18:11:04+00:00,1091
895,81,2012-04-03 18:11:16+00:00,1091
704,41,2012-04-03 18:11:35+00:00,1091
891,75,2012-04-03 18:12:09+00:00,1092
284,44,2012-04-03 18:12:27+00:00,1092
901,22,2012-04-03 18:12:42+00:00,1092
803,48,2012-04-03 18:13:12+00:00,1093
699,42,2012-04-03 18:13:21+00:00,1093
100,54,2012-04-03 18:14:03+00:00,1094
642,46,2012-04-03 18:14:21+00:00,1094
443,24,2012-04-03 18:14:44+00:00,1094
689,43,2012-04-03 18:15:05+00:00,1095
390,45,2012-04-03 18:15:07+00:00,1095
32,45,2012-04-03 18:15:33+00:00,1095
230,41,2012-04-03 18:16:09+00:00,1096
445,63,2012-04-03 18:16:10+00:00,1096
834,71,2012-04-03 18:16:19+00:00,1096
962,43,2012-04-03 18:17:17+00:00,1097
1032,79,2012-04-03 18:18:54+00:00,1098
525,94,2012-04-03 18:19:07+00:00,1099
525,94,2012-04-03 18:19:07+00:00,1099
962,43,2012-04-03 18:19:21+00:00,1099
318,33,2012-04-03 18:19:25+00:00,1099
1047,52,2012-04-03 18:19:28+00:00,1099
738,40,2012-04-03 18:21:27+00:00,1101
364,52,2012-04-03 18:21:33+00:00,1101
398,51,2012-04-03 18:23:40+00:00,1103
839,45,2012-04-03 18:24:02+00:00,1104
424,31,2012-04-03 18:24:38+00:00,1104
