start-location,start_time,exit_time
55,0,106
59,1,114
47,2,147
42,3,148
46,4,167
58,5,140
53,6,121
46,7,205
55,8,173
44,9,206
50,10,202
46,11,127
51,12,121
58,13,143
40,14,172
58,15,183
46,16,209
46,17,215
60,18,139
42,19,196
54,20,218
56,21,196
55,22,156
56,23,222
54,24,148
58,25,131
51,26,181
55,27,156
40,28,213
59,29,151
45,30,182
51,31,229
47,32,143
42,33,159
51,34,178
50,35,187
57,36,188
53,37,147
41,38,208
55,39,207
41,40,202
59,41,212
56,42,207
41,43,186
42,44,171
41,45,217
40,46,191
40,47,190
44,48,196
44,49,198
45,50,245
49,51,151
58,52,179
50,53,232
54,54,164
51,55,248
55,56,251
51,57,240
46,58,197
43,59,257
58,60,252
52,61,240
49,62,188
47,63,197
51,64,198
56,65,195
50,66,195
52,67,252
42,68,242
44,69,171
47,70,179
45,71,235
60,72,194
59,73,177
58,74,206
40,75,200
44,76,191
46,77,181
42,78,202
57,79,226
56,80,244
46,81,245
59,82,250
46,83,192
54,84,240
50,85,213
47,86,193
53,87,244
42,88,206
51,89,228
47,90,204
41,91,191
46,92,278
47,93,236
49,94,206
45,95,227
42,96,199
56,97,290
54,98,292
54,99,201
43,100,235
42,101,221
40,102,206
57,103,235
43,104,298
57,105,278
53,106,241
57,107,281
46,108,289
57,109,264
43,110,268
57,111,213
53,112,234
60,113,271
45,114,285
60,115,304
49,116,259
59,117,252
48,118,315
59,119,296
45,120,315
44,121,284
41,122,276
57,123,260
40,124,319
47,125,230
41,126,323
53,127,231
50,128,260
46,129,259
53,130,284
57,131,260
54,132,297
50,133,250
55,134,236
48,135,266
59,136,271
47,137,261
45,138,313
43,139,338
47,140,323
40,141,258
60,142,265
45,143,261
54,144,307
53,145,302
46,146,266
56,147,325
42,148,263
58,149,346
51,150,307
50,151,311
49,152,284
46,153,274
52,154,327
54,155,289
55,156,341
43,157,257
42,158,270
56,159,276
45,160,291
50,161,348
41,162,307
53,163,288
56,164,317
58,165,330
41,166,276
40,167,365
44,168,365
40,169,321
50,170,356
55,171,371
51,172,283
60,173,370
46,174,327
41,175,307
43,176,343
44,177,334
42,178,313
52,179,335
56,180,288
58,181,372
52,182,313
55,183,356
45,184,332
57,185,296
44,186,324
54,187,337
46,188,373
47,189,309
45,190,333
46,191,312
41,192,331
49,193,393
57,194,361
54,195,386
40,196,342
43,197,379
57,198,376
55,199,371
58,200,374
52,201,337
46,202,372
54,203,308
58,204,321
44,205,348
53,206,396
45,207,365
49,208,344
51,209,319
51,210,365
48,211,356
49,212,335
46,213,349
60,214,320
42,215,365
51,216,415
55,217,368
43,218,413
48,219,403
40,220,342
43,221,408
59,222,360
43,223,400
58,224,352
44,225,392
47,226,422
46,227,356
50,228,391
43,229,398
50,230,370
40,231,378
47,232,369
59,233,432
41,234,366
53,235,339
46,236,366
43,237,397
42,238,350
45,239,408
58,240,377
50,241,390
43,242,347
41,243,384
41,244,433
48,245,444
55,246,429
58,247,406
46,248,369
53,249,426
56,250,411
53,251,410
52,252,364
55,253,375
58,254,426
54,255,417
56,256,448
60,257,401
54,258,430
59,259,414
53,260,375
55,261,368
40,262,450
52,263,435
41,264,394
50,265,406
55,266,452
41,267,376
42,268,418
47,269,385
60,270,394
46,271,415
46,272,449
50,273,448
40,274,455
60,275,410
59,276,423
56,277,472
42,278,396
45,279,427
51,280,388
43,281,454
60,282,387
58,283,409
44,284,452
44,285,416
60,286,455
60,287,463
45,288,393
51,289,416
45,290,470
53,291,468
59,292,453
45,293,473
56,294,480
43,295,414
55,296,426
55,297,415
41,298,476
42,299,418
42,300,494
50,301,477
40,302,428
50,303,453
41,304,488
55,305,406
46,306,429
59,307,499
42,308,491
52,309,485
57,310,431
53,311,427
44,312,502
54,313,419
57,314,494
41,315,469
55,316,418
53,317,422
50,318,451
51,319,426
58,320,488
45,321,497
56,322,474
49,323,432
43,324,498
56,325,488
51,326,468
40,327,429
45,328,471
48,329,512
41,330,517
60,331,500
57,332,441
48,333,448
57,334,515
47,335,487
52,336,463
48,337,441
50,338,497
53,339,537
56,340,486
46,341,491
43,342,508
60,343,445
54,344,482
50,345,466
50,346,478
50,347,506
41,348,468
47,349,461
56,350,533
59,351,540
50,352,494
40,353,540
42,354,545
49,355,497
44,356,470
57,357,472
50,358,476
55,359,526
60,360,477
41,361,461
57,362,493
41,363,502
54,364,552
56,365,470
44,366,528
48,367,479
52,368,542
58,369,508
57,370,535
43,371,566
46,372,519
58,373,518
49,374,538
59,375,496
40,376,529
52,377,563
53,378,574
58,379,492
56,380,504
42,381,489
55,382,484
47,383,490
48,384,577
49,385,510
51,386,528
43,387,567
56,388,554
40,389,532
54,390,559
49,391,571
49,392,589
46,393,520
49,394,543
60,395,565
40,396,573
48,397,525
47,398,543
46,399,533
41,400,568
56,401,518
48,402,538
58,403,528
44,404,577
42,405,573
43,406,508
45,407,538
49,408,516
45,409,527
58,410,591
46,411,513
54,412,602
52,413,575
55,414,548
48,415,582
59,416,524
40,417,544
48,418,588
56,419,579
58,420,602
52,421,614
50,422,585
50,423,607
48,424,603
40,425,617
44,426,586
58,427,576
47,428,577
45,429,628
60,430,557
42,431,591
60,432,563
58,433,533
44,434,553
48,435,549
41,436,541
42,437,602
41,438,575
50,439,587
43,440,627
57,441,541
49,442,603
57,443,638
51,444,579
49,445,601
48,446,621
57,447,600
52,448,611
48,449,569
51,450,573
43,451,575
52,452,645
47,453,589
51,454,571
50,455,561
53,456,621
48,457,563
47,458,591
59,459,613
55,460,647
47,461,620
47,462,645
49,463,581
50,464,605
52,465,577
49,466,569
59,467,630
42,468,631
40,469,583
56,470,613
49,471,669
42,472,657
59,473,655
57,474,660
56,475,587
43,476,628
51,477,606
44,478,630
42,479,593
51,480,673
42,481,615
50,482,619
41,483,661
60,484,635
42,485,666
56,486,603
60,487,657
58,488,677
53,489,602
42,490,647
42,491,676
42,492,679
45,493,657
55,494,609
59,495,633
54,496,674
56,497,696
60,498,626
49,499,681
50,500,655
45,501,700
54,502,629
57,503,689
44,504,609
52,505,612
53,506,704
45,507,705
60,508,608
40,509,705
52,510,625
56,511,645
48,512,661
59,513,631
49,514,684
49,515,658
58,516,681
59,517,630
40,518,667
46,519,619
58,520,720
44,521,669
42,522,659
51,523,685
56,524,679
50,525,683
46,526,696
42,527,683
58,528,681
48,529,710
45,530,696
47,531,643
56,532,728
60,533,726
44,534,703
54,535,721
48,536,725
42,537,696
58,538,670
50,539,721
50,540,667
41,541,721
47,542,672
43,543,653
40,544,670
60,545,663
56,546,656
59,547,736
47,548,699
47,549,684
53,550,722
46,551,679
51,552,658
57,553,680
44,554,673
52,555,722
50,556,742
57,557,673
55,558,686
50,559,722
48,560,716
42,561,745
46,562,712
46,563,748
56,564,679
45,565,676
55,566,718
44,567,695
53,568,674
54,569,764
51,570,724
42,571,760
55,572,742
45,573,758
43,574,774
60,575,727
44,576,735
58,577,706
53,578,688
58,579,746
50,580,767
57,581,700
50,582,779
46,583,748
45,584,702
44,585,778
54,586,714
43,587,763
52,588,715
50,589,771
56,590,743
57,591,710
41,592,710
57,593,739
54,594,765
57,595,703
41,596,725
58,597,795
60,598,758
40,599,727
42,600,749
52,601,702
51,602,759
50,603,768
45,604,786
53,605,776
60,606,773
54,607,708
45,608,710
55,609,803
50,610,759
51,611,785
51,612,754
41,613,765
41,614,802
42,615,799
43,616,768
53,617,719
55,618,796
57,619,812
54,620,780
42,621,746
59,622,767
45,623,800
49,624,814
57,625,729
41,626,807
41,627,813
52,628,772
50,629,755
43,630,750
55,631,826
51,632,777
49,633,760
45,634,821
44,635,830
47,636,808
45,637,826
47,638,742
55,639,762
58,640,808
40,641,822
58,642,817
57,643,792
52,644,842
58,645,752
59,646,748
53,647,756
48,648,814
44,649,810
51,650,804
52,651,805
59,652,843
57,653,765
40,654,843
59,655,827
51,656,802
47,657,766
53,658,800
59,659,805
46,660,783
45,661,841
41,662,765
52,663,811
40,664,863
60,665,859
59,666,781
54,667,794
54,668,854
52,669,829
54,670,799
51,671,825
54,672,775
51,673,796
59,674,858
52,675,824
53,676,869
49,677,792
53,678,823
53,679,841
55,680,813
60,681,828
50,682,869
58,683,784
42,684,879
53,685,791
56,686,872
44,687,872
52,688,805
53,689,857
46,690,813
40,691,837
52,692,867
42,693,858
59,694,828
55,695,872
51,696,797
55,697,876
49,698,873
50,699,824
53,700,827
40,701,880
48,702,836
44,703,869
40,704,858
59,705,898
56,706,863
57,707,890
44,708,906
51,709,812
54,710,882
55,711,874
50,712,869
52,713,831
51,714,901
44,715,874
47,716,894
43,717,913
49,718,879
45,719,819
54,720,856
42,721,861
44,722,900
46,723,853
40,724,845
56,725,877
56,726,877
57,727,868
58,728,902
56,729,898
50,730,843
46,731,918
43,732,895
52,733,904
51,734,928
51,735,841
41,736,852
57,737,887
50,738,899
50,739,847
59,740,919
44,741,913
51,742,927
49,743,941
59,744,903
50,745,920
47,746,934
58,747,897
51,748,895
52,749,893
