start-location,start_time,exit_time
1,0,149
96,1,127
7,2,197
97,3,167
5,4,162
96,5,143
4,6,172
94,7,189
5,8,110
97,9,132
10,10,174
92,11,161
8,12,160
98,13,148
3,14,169
98,15,186
7,16,168
96,17,166
8,18,181
99,19,135
0,20,167
92,21,217
0,22,171
96,23,171
4,24,156
98,25,137
9,26,181
94,27,140
6,28,145
92,29,207
4,30,229
96,31,134
9,32,150
97,33,140
3,34,218
93,35,218
10,36,215
95,37,176
2,38,222
94,39,187
8,40,199
99,41,195
0,42,220
99,43,201
9,44,237
99,45,209
4,46,185
94,47,202
4,48,173
95,49,158
0,50,175
94,51,161
2,52,173
99,53,171
7,54,185
96,55,220
5,56,209
98,57,193
1,58,160
91,59,243
8,60,215
94,61,187
8,62,175
94,63,249
0,64,262
99,65,235
2,66,253
90,67,247
2,68,174
90,69,188
7,70,211
90,71,201
4,72,177
91,73,234
3,74,179
97,75,195
1,76,243
93,77,212
9,78,244
93,79,236
9,80,206
95,81,239
1,82,209
96,83,256
10,84,232
98,85,229
7,86,223
98,87,221
6,88,220
96,89,268
6,90,199
99,91,222
2,92,197
97,93,225
7,94,214
93,95,290
5,96,288
98,97,277
5,98,272
96,99,235
3,100,226
98,101,266
7,102,202
91,103,275
10,104,213
94,105,241
5,106,284
97,107,280
8,108,293
97,109,257
1,110,258
96,111,275
10,112,305
100,113,291
3,114,311
99,115,251
8,116,221
93,117,225
7,118,239
99,119,240
2,120,309
100,121,231
10,122,266
93,123,268
5,124,229
93,125,311
3,126,253
99,127,288
8,128,316
95,129,304
10,130,254
99,131,293
2,132,277
100,133,293
9,134,290
100,135,321
8,136,243
99,137,251
0,138,276
90,139,283
9,140,254
100,141,327
5,142,310
91,143,256
7,144,263
100,145,257
9,146,340
90,147,337
3,148,275
96,149,290
8,150,320
96,151,349
1,152,270
91,153,306
10,154,298
96,155,288
2,156,312
91,157,296
9,158,280
96,159,330
9,160,316
97,161,265
3,162,353
99,163,299
3,164,321
97,165,323
6,166,268
95,167,335
0,168,289
95,169,353
10,170,360
100,171,366
3,172,285
96,173,326
5,174,318
92,175,339
4,176,324
94,177,354
6,178,296
96,179,310
5,180,286
95,181,353
6,182,322
94,183,308
10,184,312
90,185,300
2,186,297
95,187,343
9,188,315
98,189,371
8,190,355
96,191,342
1,192,367
90,193,393
5,194,298
94,195,360
4,196,328
100,197,379
5,198,308
91,199,306
0,200,322
100,201,355
3,202,318
100,203,309
10,204,385
97,205,341
8,206,317
99,207,389
3,208,386
91,209,379
6,210,316
97,211,393
1,212,352
93,213,393
6,214,406
97,215,336
3,216,410
90,217,361
10,218,403
94,219,361
9,220,420
97,221,411
8,222,340
93,223,410
7,224,407
90,225,338
2,226,327
95,227,405
3,228,332
92,229,362
0,230,347
93,231,402
6,232,421
91,233,358
10,234,411
92,235,363
1,236,357
93,237,382
2,238,354
97,239,396
4,240,347
92,241,344
2,242,368
93,243,438
5,244,402
100,245,377
5,246,423
95,247,404
2,248,383
95,249,420
9,250,448
100,251,411
3,252,373
95,253,421
4,254,397
90,255,358
0,256,417
96,257,412
1,258,369
100,259,369
3,260,406
94,261,460
7,262,384
94,263,419
1,264,443
99,265,392
10,266,428
96,267,436
3,268,406
95,269,457
6,270,443
96,271,430
3,272,468
92,273,394
9,274,382
92,275,438
9,276,474
96,277,409
10,278,394
90,279,399
6,280,397
94,281,477
4,282,412
92,283,391
2,284,435
91,285,465
6,286,461
93,287,412
3,288,426
91,289,484
5,290,466
96,291,428
10,292,395
97,293,410
1,294,399
95,295,490
4,296,473
95,297,427
5,298,460
92,299,497
0,300,485
91,301,464
5,302,459
99,303,405
5,304,450
90,305,492
6,306,502
92,307,489
1,308,418
95,309,434
2,310,451
97,311,480
9,312,460
96,313,509
8,314,487
96,315,463
9,316,485
91,317,480
0,318,437
94,319,496
2,320,484
90,321,482
5,322,506
96,323,450
7,324,477
94,325,433
9,326,524
94,327,495
9,328,445
93,329,527
7,330,495
93,331,436
7,332,434
94,333,437
6,334,435
98,335,487
4,336,436
94,337,487
8,338,497
97,339,529
2,340,458
91,341,483
7,342,460
100,343,446
0,344,449
96,345,476
0,346,453
93,347,497
5,348,493
92,349,529
4,350,470
100,351,487
4,352,529
93,353,473
9,354,470
92,355,477
7,356,499
90,357,491
5,358,488
95,359,500
9,360,481
91,361,471
3,362,466
96,363,511
4,364,557
100,365,477
10,366,519
96,367,476
4,368,546
94,369,548
8,370,554
98,371,537
8,372,533
91,373,566
3,374,556
90,375,511
8,376,555
99,377,486
3,378,496
93,379,543
7,380,521
91,381,496
5,382,581
98,383,568
9,384,573
99,385,486
5,386,560
99,387,538
4,388,579
100,389,537
6,390,551
92,391,545
4,392,550
98,393,538
6,394,549
98,395,521
7,396,497
95,397,538
1,398,502
94,399,579
7,400,503
96,401,529
4,402,564
96,403,568
4,404,604
94,405,594
6,406,528
96,407,541
2,408,554
92,409,591
10,410,608
94,411,574
2,412,604
