start-location,start_time,exit_time
10,0,148
25,0,107
23,0,116
14,0,148
22,0,100
17,1,116
12,1,156
22,1,149
17,1,193
7,1,124
23,2,162
4,2,122
20,2,111
25,2,108
13,2,127
2,3,139
25,3,192
16,3,200
21,3,179
6,3,138
20,4,181
20,4,105
0,4,151
20,4,197
3,4,138
2,5,138
19,5,147
24,5,153
10,5,105
9,5,183
5,6,164
6,6,108
13,6,109
13,6,127
24,6,126
18,7,145
24,7,181
18,7,178
2,7,202
3,7,186
17,8,131
16,8,205
13,8,138
7,8,147
3,8,170
12,9,158
21,9,133
24,9,163
0,9,136
17,9,152
23,10,206
21,10,145
1,10,164
6,10,185
5,10,194
22,11,165
8,11,125
4,11,158
6,11,127
15,11,203
0,12,140
3,12,183
10,12,137
4,12,165
22,12,179
10,13,175
22,13,131
19,13,138
7,13,178
12,13,124
15,14,170
6,14,194
16,14,191
22,14,171
2,14,194
17,15,178
8,15,141
24,15,215
4,15,186
12,15,210
11,16,126
20,16,190
21,16,175
1,16,196
25,16,198
9,17,120
23,17,192
22,17,138
3,17,212
23,17,125
11,18,199
2,18,170
23,18,175
10,18,180
19,18,131
2,19,125
18,19,140
10,19,157
19,19,183
18,19,127
14,20,134
4,20,184
7,20,174
4,20,198
13,20,205
23,21,195
15,21,167
0,21,134
3,21,193
1,21,183
19,22,199
17,22,213
19,22,165
7,22,128
7,22,192
6,23,196
19,23,157
11,23,146
18,23,154
19,23,154
25,24,183
3,24,180
23,24,191
4,24,135
1,24,217
0,25,209
0,25,161
9,25,195
16,25,224
18,25,156
14,26,190
4,26,219
13,26,126
14,26,164
0,26,208
2,27,158
4,27,211
5,27,152
16,27,226
24,27,156
17,28,215
1,28,194
0,28,146
23,28,131
22,28,133
13,29,135
6,29,171
24,29,187
8,29,202
13,29,136
22,30,133
19,30,138
22,30,163
0,30,173
15,30,169
14,31,134
13,31,176
3,31,208
2,31,204
16,31,169
20,32,199
3,32,197
3,32,232
3,32,216
25,32,151
6,33,140
11,33,139
10,33,145
14,33,231
2,33,214
23,34,145
14,34,164
3,34,174
0,34,134
11,34,172
6,35,194
0,35,235
21,35,227
4,35,198
13,35,142
16,36,149
8,36,162
16,36,201
4,36,137
20,36,142
13,37,181
4,37,201
21,37,189
1,37,194
15,37,223
19,38,220
6,38,235
15,38,182
2,38,146
13,38,228
7,39,216
17,39,213
18,39,176
22,39,233
11,39,148
6,40,173
20,40,167
22,40,198
20,40,220
11,40,202
0,41,158
8,41,166
3,41,149
14,41,154
2,41,190
19,42,229
14,42,172
12,42,202
17,42,208
9,42,184
24,43,161
1,43,171
12,43,228
14,43,202
8,43,175
23,44,160
2,44,147
19,44,161
22,44,177
17,44,149
24,45,190
14,45,233
6,45,195
22,45,151
21,45,159
25,46,220
11,46,159
20,46,164
0,46,221
2,46,235
3,47,183
4,47,246
21,47,221
23,47,176
6,47,174
3,48,233
9,48,241
18,48,217
10,48,213
22,48,237
8,49,162
13,49,187
15,49,187
22,49,167
24,49,177
16,50,155
8,50,167
21,50,214
6,50,192
21,50,226
17,51,231
2,51,212
25,51,238
5,51,159
15,51,155
13,52,179
22,52,232
2,52,221
18,52,224
10,52,172
14,53,251
13,53,246
14,53,205
14,53,196
8,53,204
24,54,214
7,54,245
10,54,196
5,54,163
1,54,201
16,55,194
19,55,255
9,55,245
5,55,253
5,55,210
11,56,217
2,56,235
19,56,199
22,56,194
1,56,190
25,57,240
1,57,257
24,57,175
7,57,181
4,57,204
5,58,159
10,58,243
19,58,248
7,58,240
23,58,223
19,59,210
15,59,185
12,59,187
19,59,232
10,59,166
7,60,184
24,60,164
9,60,206
14,60,183
17,60,235
14,61,200
17,61,202
16,61,208
2,61,229
10,61,236
4,62,216
4,62,253
9,62,246
2,62,246
4,62,254
3,63,258
1,63,251
16,63,187
1,63,169
14,63,170
0,64,223
23,64,179
0,64,243
6,64,189
9,64,184
8,65,237
4,65,176
7,65,206
1,65,169
9,65,227
25,66,233
8,66,245
8,66,202
20,66,223
7,66,180
22,67,179
20,67,260
8,67,192
5,67,238
10,67,173
14,68,242
23,68,205
24,68,232
24,68,211
9,68,171
0,69,249
0,69,242
2,69,242
10,69,169
23,69,238
9,70,257
7,70,254
14,70,228
14,70,201
7,70,185
10,71,184
5,71,270
10,71,195
13,71,200
0,71,181
16,72,193
17,72,250
2,72,173
24,72,185
16,72,265
0,73,264
24,73,202
17,73,246
2,73,240
24,73,237
2,74,236
21,74,190
12,74,174
4,74,183
8,74,217
7,75,241
10,75,225
1,75,205
24,75,226
14,75,179
1,76,224
23,76,207
7,76,200
18,76,196
7,76,241
12,77,223
23,77,259
8,77,227
21,77,254
1,77,208
0,78,193
1,78,262
16,78,195
22,78,245
23,78,205
11,79,235
22,79,262
7,79,227
0,79,231
11,79,246
11,80,185
4,80,274
24,80,204
13,80,212
11,80,264
25,81,200
25,81,263
3,81,258
14,81,209
9,81,222
1,82,218
6,82,238
13,82,201
8,82,198
5,82,234
5,83,208
18,83,186
5,83,272
0,83,198
21,83,208
10,84,205
24,84,215
14,84,219
21,84,198
21,84,225
1,85,243
8,85,218
14,85,243
18,85,234
23,85,276
23,86,188
11,86,250
4,86,213
24,86,212
5,86,278
8,87,236
8,87,196
21,87,224
4,87,257
3,87,200
1,88,282
21,88,199
0,88,212
10,88,217
3,88,251
3,89,272
18,89,219
2,89,284
21,89,206
0,89,233
19,90,234
12,90,208
12,90,205
16,90,275
4,90,269
16,91,272
9,91,203
16,91,213
25,91,211
22,91,259
12,92,267
22,92,245
19,92,257
5,92,220
6,92,250
2,93,253
2,93,240
2,93,293
9,93,274
9,93,259
16,94,277
15,94,199
12,94,252
10,94,214
10,94,259
10,95,237
12,95,240
17,95,195
19,95,228
6,95,239
0,96,209
