start-location,start_time,exit_time
2,0,144
25,1,195
70,2,138
55,3,165
55,4,131
54,5,161
64,6,176
42,7,119
84,8,118
72,9,172
33,10,191
60,11,126
96,12,191
17,13,195
92,14,191
59,15,203
74,16,117
1,17,134
5,18,212
53,19,215
56,20,165
44,21,177
85,22,134
92,23,145
87,24,220
63,25,207
83,26,200
8,27,208
80,28,151
84,29,188
5,30,162
39,31,225
65,32,190
27,33,205
45,34,172
11,35,222
7,36,193
98,37,190
0,38,166
36,39,142
77,40,197
26,41,236
83,42,180
61,43,221
24,44,241
57,45,216
87,46,200
35,47,184
78,48,216
84,49,207
34,50,170
58,51,174
37,52,248
26,53,238
63,54,197
64,55,178
56,56,233
40,57,172
43,58,166
24,59,161
93,60,163
24,61,253
56,62,170
60,63,240
18,64,238
96,65,191
83,66,234
49,67,189
56,68,198
31,69,228
30,70,238
55,71,264
4,72,198
4,73,189
0,74,206
84,75,272
57,76,215
5,77,263
62,78,211
91,79,188
80,80,264
54,81,231
16,82,280
77,83,227
7,84,258
43,85,266
81,86,264
12,87,228
36,88,221
58,89,229
26,90,191
54,91,291
5,92,258
59,93,267
74,94,272
76,95,271
57,96,203
70,97,269
22,98,201
77,99,211
89,100,210
31,101,241
74,102,204
44,103,296
70,104,266
77,105,245
64,106,256
76,107,221
87,108,290
9,109,211
43,110,230
67,111,218
42,112,308
75,113,250
74,114,227
53,115,224
78,116,238
88,117,252
62,118,218
27,119,226
46,120,270
26,121,249
12,122,277
77,123,246
5,124,228
60,125,250
80,126,252
19,127,324
90,128,246
19,129,296
58,130,236
33,131,284
73,132,283
45,133,277
57,134,299
12,135,332
62,136,288
38,137,259
25,138,327
22,139,290
31,140,330
28,141,256
75,142,310
12,143,265
74,144,269
88,145,299
12,146,297
90,147,325
24,148,275
55,149,338
51,150,281
36,151,296
55,152,260
19,153,306
88,154,282
64,155,301
75,156,301
84,157,302
34,158,338
10,159,270
24,160,274
35,161,356
96,162,347
11,163,330
17,164,348
18,165,273
36,166,359
16,167,274
70,168,362
13,169,346
50,170,307
17,171,315
83,172,305
22,173,321
31,174,302
21,175,280
66,176,301
6,177,338
91,178,351
57,179,337
39,180,321
79,181,292
20,182,318
2,183,364
46,184,363
33,185,334
67,186,334
82,187,338
30,188,373
63,189,321
46,190,308
95,191,326
1,192,312
12,193,358
45,194,318
48,195,366
77,196,336
38,197,330
16,198,384
45,199,379
4,200,368
22,201,358
57,202,371
77,203,307
45,204,365
85,205,364
30,206,390
39,207,352
24,208,380
88,209,323
74,210,403
87,211,406
6,212,409
26,213,340
31,214,329
50,215,321
98,216,385
94,217,398
87,218,329
0,219,328
42,220,406
39,221,322
33,222,378
28,223,372
89,224,350
70,225,411
75,226,413
98,227,363
25,228,349
33,229,374
23,230,404
71,231,420
37,232,412
15,233,368
16,234,356
86,235,340
71,236,386
21,237,348
61,238,427
61,239,362
12,240,435
33,241,388
16,242,420
33,243,427
2,244,437
95,245,378
14,246,374
72,247,380
19,248,412
82,249,410
22,250,353
86,251,434
60,252,430
98,253,396
71,254,448
20,255,422
74,256,425
24,257,417
82,258,375
81,259,384
79,260,373
2,261,429
71,262,372
84,263,397
52,264,404
72,265,417
77,266,400
42,267,460
17,268,456
63,269,436
16,270,439
6,271,458
71,272,437
88,273,388
77,274,460
82,275,470
70,276,460
45,277,430
85,278,382
56,279,471
7,280,386
79,281,463
88,282,420
58,283,411
64,284,427
75,285,438
48,286,480
93,287,452
83,288,397
52,289,412
42,290,423
54,291,391
43,292,466
68,293,431
48,294,469
72,295,448
61,296,470
70,297,486
21,298,489
71,299,422
39,300,485
20,301,414
35,302,421
11,303,416
77,304,497
83,305,408
14,306,413
86,307,439
76,308,431
64,309,500
26,310,452
96,311,507
71,312,465
28,313,511
71,314,420
16,315,441
67,316,502
51,317,513
72,318,422
29,319,444
61,320,494
85,321,445
89,322,444
70,323,455
69,324,502
33,325,442
91,326,522
20,327,525
0,328,513
7,329,511
36,330,460
91,331,482
67,332,467
14,333,512
92,334,510
82,335,506
35,336,444
8,337,454
96,338,521
92,339,475
46,340,532
47,341,528
53,342,442
72,343,490
16,344,536
66,345,526
79,346,463
32,347,449
82,348,465
53,349,465
16,350,482
98,351,487
59,352,482
64,353,493
11,354,531
73,355,489
39,356,504
12,357,517
70,358,524
96,359,559
55,360,528
15,361,547
68,362,538
96,363,505
38,364,490
13,365,529
80,366,505
72,367,520
9,368,565
4,369,489
91,370,526
77,371,494
27,372,517
83,373,573
99,374,526
80,375,570
52,376,567
59,377,521
48,378,563
20,379,525
97,380,481
27,381,543
37,382,484
59,383,515
82,384,573
12,385,573
21,386,548
43,387,532
99,388,574
41,389,509
10,390,586
20,391,530
94,392,575
44,393,497
72,394,571
19,395,565
59,396,550
67,397,586
30,398,507
47,399,543
45,400,597
86,401,574
15,402,576
41,403,538
98,404,532
95,405,601
1,406,519
78,407,567
91,408,587
73,409,603
63,410,513
92,411,548
40,412,567
52,413,522
12,414,537
54,415,544
56,416,574
55,417,563
59,418,596
52,419,541
49,420,551
87,421,610
17,422,621
83,423,590
6,424,538
51,425,619
56,426,548
45,427,622
17,428,609
38,429,563
74,430,591
66,431,615
15,432,580
80,433,538
47,434,549
7,435,600
74,436,560
67,437,589
86,438,540
88,439,610
59,440,593
49,441,599
95,442,623
91,443,602
91,444,616
40,445,637
16,446,622
60,447,568
87,448,551
55,449,610
75,450,598
22,451,626
44,452,646
7,453,651
93,454,623
16,455,644
27,456,654
24,457,564
37,458,613
74,459,602
65,460,630
70,461,642
10,462,579
43,463,635
28,464,603
19,465,622
37,466,608
54,467,620
31,468,640
53,469,604
74,470,645
62,471,616
79,472,604
90,473,580
29,474,589
4,475,591
24,476,594
83,477,583
7,478,653
41,479,662
77,480,595
72,481,663
87,482,623
48,483,614
35,484,671
95,485,648
84,486,622
38,487,607
39,488,592
32,489,686
70,490,613
1,491,592
81,492,682
39,493,677
76,494,666
57,495,667
99,496,598
42,497,613
67,498,605
95,499,624
36,500,618
94,501,609
75,502,612
75,503,691
11,504,614
71,505,693
81,506,705
18,507,661
99,508,689
72,509,657
61,510,623
22,511,623
75,512,672
18,513,684
27,514,673
70,515,643
43,516,669
62,517,637
33,518,710
53,519,678
63,520,633
16,521,663
34,522,674
83,523,694
93,524,682
59,525,626
87,526,719
78,527,698
38,528,660
36,529,675
71,530,697
90,531,669
94,532,719
39,533,683
87,534,674
76,535,692
50,536,709
92,537,642
67,538,708
50,539,719
10,540,738
1,541,698
15,542,704
69,543,740
66,544,685
84,545,705
85,546,715
85,547,723
17,548,697
72,549,673
56,550,669
42,551,702
81,552,687
0,553,696
76,554,713
48,555,677
37,556,677
27,557,657
44,558,748
89,559,736
18,560,694
88,561,683
56,562,720
33,563,743
81,564,754
34,565,733
41,566,686
30,567,703
23,568,728
93,569,674
0,570,747
27,571,733
39,572,758
9,573,683
91,574,723
10,575,756
80,576,748
24,577,761
30,578,712
31,579,730
91,580,762
33,581,700
48,582,694
42,583,705
78,584,745
30,585,760
95,586,730
50,587,768
50,588,700
76,589,756
18,590,691
35,591,750
10,592,760
54,593,787
8,594,793
73,595,736
81,596,773
1,597,786
24,598,785
10,599,746
53,600,711
59,601,756
85,602,797
56,603,739
14,604,755
25,605,802
10,606,735
39,607,714
32,608,722
93,609,792
15,610,804
49,611,734
9,612,805
30,613,757
10,614,796
42,615,738
6,616,797
22,617,767
5,618,802
88,619,752
71,620,724
25,621,785
48,622,792
57,623,752
31,624,733
91,625,743
21,626,790
44,627,787
74,628,771
45,629,778
82,630,759
50,631,794
87,632,771
4,633,786
29,634,768
37,635,756
11,636,789
43,637,762
6,638,804
98,639,757
47,640,840
72,641,782
35,642,750
25,643,801
38,644,758
21,645,845
74,646,761
16,647,768
91,648,825
99,649,751
0,650,768
98,651,782
62,652,821
98,653,808
19,654,837
82,655,824
40,656,830
7,657,833
27,658,792
49,659,835
61,660,804
20,661,806
49,662,862
72,663,795
44,664,856
42,665,856
12,666,796
89,667,813
1,668,863
9,669,821
83,670,802
75,671,845
11,672,791
54,673,844
7,674,812
38,675,849
98,676,789
44,677,828
9,678,870
63,679,786
42,680,855
82,681,867
95,682,819
51,683,811
8,684,879
9,685,787
76,686,814
8,687,868
32,688,888
29,689,850
69,690,827
64,691,865
35,692,846
6,693,841
53,694,804
5,695,864
19,696,879
98,697,847
47,698,822
25,699,825
57,700,800
51,701,821
53,702,822
27,703,884
89,704,852
38,705,901
88,706,807
96,707,853
83,708,809
96,709,839
41,710,858
16,711,863
15,712,909
95,713,912
28,714,888
37,715,894
67,716,836
84,717,910
92,718,856
67,719,881
44,720,883
41,721,823
57,722,843
35,723,882
18,724,921
53,725,844
24,726,831
63,727,891
0,728,878
87,729,913
90,730,845
54,731,885
8,732,839
15,733,897
54,734,850
42,735,864
23,736,840
93,737,846
47,738,875
52,739,917
25,740,923
95,741,895
94,742,894
47,743,843
61,744,845
86,745,887
30,746,897
93,747,858
71,748,876
38,749,917
