start-location,start_time,exit_time
33,0,161
20,1,174
72,2,159
90,3,166
64,4,120
68,5,114
69,6,153
25,7,174
83,8,134
22,9,175
21,10,183
8,11,201
36,12,140
11,13,160
98,14,210
83,15,143
17,16,126
53,17,168
61,18,167
23,19,143
57,20,203
26,21,182
10,22,144
99,23,209
90,24,189
9,25,147
30,26,151
45,27,165
90,28,144
18,29,176
73,30,228
56,31,170
66,32,217
6,33,153
20,34,159
68,35,170
36,36,189
39,37,154
44,38,160
26,39,225
61,40,212
79,41,147
29,42,169
67,43,182
32,44,169
45,45,160
1,46,146
33,47,182
73,48,183
30,49,187
25,50,244
89,51,197
39,52,187
78,53,197
21,54,226
50,55,172
63,56,251
60,57,232
74,58,225
53,59,242
42,60,243
55,61,187
19,62,170
87,63,168
41,64,202
31,65,194
12,66,233
73,67,177
90,68,224
36,69,178
97,70,257
52,71,250
25,72,182
58,73,188
37,74,271
55,75,243
46,76,184
44,77,191
22,78,242
18,79,274
62,80,265
0,81,272
57,82,267
80,83,194
42,84,184
18,85,203
40,86,254
34,87,189
21,88,225
59,89,213
4,90,250
85,91,197
89,92,197
75,93,247
88,94,275
13,95,202
30,96,207
15,97,244
75,98,208
14,99,200
12,100,224
98,101,273
80,102,218
14,103,277
23,104,222
5,105,251
3,106,208
58,107,231
80,108,256
82,109,268
76,110,215
12,111,253
49,112,297
5,113,257
7,114,289
43,115,303
24,116,276
8,117,291
95,118,233
82,119,287
94,120,257
64,121,244
57,122,276
5,123,285
6,124,294
6,125,241
98,126,277
88,127,315
65,128,277
5,129,316
26,130,263
38,131,326
58,132,297
45,133,307
13,134,252
84,135,275
4,136,324
42,137,318
58,138,301
94,139,286
19,140,275
34,141,321
78,142,267
14,143,289
31,144,264
25,145,297
72,146,342
47,147,312
67,148,279
7,149,317
94,150,290
66,151,264
74,152,313
30,153,263
64,154,346
20,155,275
61,156,264
17,157,343
29,158,303
51,159,261
75,160,346
91,161,261
52,162,352
22,163,339
42,164,332
84,165,355
55,166,309
50,167,272
1,168,344
96,169,357
37,170,298
13,171,272
35,172,284
39,173,338
80,174,332
1,175,284
61,176,371
61,177,307
76,178,325
23,179,314
77,180,307
68,181,377
88,182,340
53,183,379
80,184,287
63,185,315
18,186,386
17,187,316
75,188,332
83,189,323
10,190,292
26,191,373
43,192,299
45,193,354
64,194,340
40,195,365
52,196,352
95,197,352
50,198,344
55,199,387
37,200,353
36,201,378
88,202,320
54,203,354
47,204,402
39,205,394
61,206,369
43,207,382
19,208,379
48,209,363
23,210,332
35,211,381
94,212,401
62,213,391
48,214,384
65,215,356
3,216,416
95,217,325
19,218,333
90,219,387
17,220,381
40,221,365
12,222,397
33,223,382
58,224,341
82,225,362
46,226,353
60,227,352
29,228,423
78,229,414
48,230,333
99,231,430
92,232,345
56,233,348
55,234,348
82,235,407
51,236,431
17,237,425
48,238,378
61,239,421
16,240,397
10,241,363
76,242,360
18,243,381
51,244,384
53,245,412
71,246,378
36,247,441
3,248,438
24,249,406
47,250,367
38,251,436
20,252,361
59,253,420
24,254,359
12,255,442
70,256,388
22,257,443
57,258,456
48,259,359
77,260,387
30,261,400
76,262,418
90,263,429
17,264,397
86,265,421
43,266,457
61,267,424
67,268,445
69,269,406
76,270,434
66,271,457
35,272,435
28,273,419
37,274,399
68,275,413
68,276,455
20,277,443
94,278,424
75,279,455
79,280,450
70,281,399
56,282,471
49,283,424
71,284,436
63,285,411
2,286,450
78,287,457
69,288,396
33,289,396
12,290,446
74,291,471
81,292,419
22,293,465
49,294,483
84,295,419
47,296,469
33,297,422
69,298,433
26,299,424
76,300,426
16,301,421
83,302,498
20,303,479
65,304,467
25,305,425
4,306,488
38,307,504
58,308,501
98,309,452
10,310,496
70,311,509
96,312,421
72,313,500
41,314,501
45,315,485
23,316,422
60,317,438
30,318,424
64,319,517
5,320,448
56,321,424
20,322,428
70,323,502
97,324,445
56,325,491
17,326,445
1,327,521
88,328,444
45,329,506
71,330,501
17,331,502
20,332,523
74,333,471
26,334,510
62,335,534
36,336,461
59,337,509
70,338,498
69,339,454
87,340,523
21,341,475
4,342,511
13,343,507
74,344,528
92,345,478
80,346,509
42,347,455
95,348,531
59,349,516
44,350,521
34,351,540
90,352,455
27,353,494
81,354,521
39,355,466
71,356,484
43,357,487
67,358,538
89,359,536
19,360,490
56,361,550
13,362,466
5,363,511
60,364,489
13,365,498
45,366,490
65,367,549
44,368,502
96,369,475
8,370,519
73,371,554
90,372,479
71,373,532
52,374,475
57,375,521
13,376,483
29,377,559
96,378,509
99,379,490
95,380,488
73,381,516
60,382,516
13,383,518
58,384,569
16,385,487
59,386,574
97,387,509
54,388,556
2,389,552
7,390,513
38,391,567
45,392,567
53,393,505
84,394,506
54,395,536
79,396,505
73,397,574
76,398,581
21,399,500
40,400,512
63,401,552
85,402,594
16,403,571
80,404,596
12,405,531
0,406,508
54,407,555
24,408,534
89,409,541
50,410,531
34,411,609
92,412,527
7,413,522
79,414,593
78,415,559
6,416,552
64,417,533
3,418,533
15,419,586
57,420,582
97,421,549
16,422,548
65,423,605
19,424,569
45,425,534
54,426,566
91,427,567
48,428,536
85,429,620
4,430,537
90,431,578
48,432,551
27,433,619
35,434,597
64,435,622
11,436,583
92,437,572
3,438,616
60,439,544
35,440,561
97,441,614
79,442,618
62,443,562
60,444,546
85,445,627
19,446,586
33,447,551
55,448,576
5,449,640
0,450,602
92,451,628
89,452,584
63,453,648
30,454,638
3,455,611
8,456,570
57,457,627
32,458,650
92,459,564
17,460,608
6,461,564
43,462,641
97,463,612
21,464,609
87,465,571
88,466,575
95,467,662
15,468,651
22,469,610
93,470,660
75,471,582
58,472,652
95,473,585
50,474,660
5,475,585
17,476,593
46,477,640
72,478,649
36,479,645
83,480,645
91,481,608
62,482,606
25,483,617
81,484,666
46,485,668
54,486,648
57,487,649
16,488,630
66,489,595
39,490,644
45,491,637
7,492,627
36,493,669
67,494,635
48,495,686
68,496,643
97,497,646
81,498,641
40,499,669
39,500,659
51,501,652
14,502,659
62,503,691
25,504,701
68,505,662
29,506,621
45,507,661
94,508,676
0,509,704
39,510,657
48,511,670
66,512,691
68,513,700
19,514,625
77,515,666
74,516,688
85,517,618
23,518,657
34,519,705
12,520,714
68,521,640
50,522,658
7,523,688
82,524,688
2,525,684
22,526,672
17,527,721
33,528,698
38,529,712
46,530,690
9,531,632
94,532,632
49,533,644
62,534,698
20,535,730
69,536,664
97,537,735
96,538,672
4,539,707
35,540,699
99,541,675
62,542,647
63,543,675
69,544,700
84,545,732
63,546,696
69,547,741
23,548,712
8,549,695
83,550,740
93,551,702
50,552,717
21,553,716
1,554,690
72,555,697
45,556,701
93,557,745
19,558,723
80,559,669
96,560,700
80,561,734
60,562,746
93,563,747
89,564,706
80,565,726
98,566,693
58,567,763
88,568,728
35,569,759
86,570,677
73,571,723
44,572,755
64,573,702
77,574,699
99,575,740
39,576,681
97,577,707
92,578,701
79,579,744
2,580,774
23,581,684
53,582,716
14,583,749
56,584,696
82,585,783
66,586,704
89,587,748
68,588,754
17,589,711
34,590,739
54,591,720
37,592,736
13,593,697
72,594,768
84,595,773
67,596,788
45,597,712
72,598,702
46,599,731
36,600,746
57,601,779
15,602,753
33,603,772
15,604,710
36,605,786
15,606,731
20,607,711
44,608,738
76,609,713
2,610,777
44,611,714
44,612,735
66,613,757
76,614,782
28,615,802
16,616,781
43,617,732
15,618,781
19,619,721
39,620,753
41,621,776
24,622,779
86,623,733
67,624,801
75,625,729
61,626,760
78,627,766
84,628,755
0,629,807
91,630,754
48,631,747
53,632,735
90,633,753
58,634,818
2,635,746
90,636,786
84,637,814
75,638,822
0,639,796
57,640,819
68,641,817
71,642,756
70,643,771
78,644,777
18,645,750
73,646,751
61,647,754
0,648,770
85,649,830
60,650,789
14,651,777
82,652,804
23,653,833
70,654,818
36,655,822
70,656,766
60,657,854
70,658,798
23,659,774
47,660,780
82,661,826
88,662,821
72,663,787
89,664,834
48,665,787
40,666,825
71,667,775
68,668,838
48,669,806
33,670,773
44,671,807
3,672,820
59,673,778
50,674,861
45,675,806
50,676,799
51,677,869
68,678,807
47,679,782
33,680,862
19,681,814
24,682,787
86,683,792
49,684,832
39,685,815
34,686,858
20,687,848
1,688,883
26,689,813
63,690,882
61,691,823
41,692,814
24,693,851
86,694,868
73,695,802
1,696,804
59,697,888
49,698,813
76,699,872
24,700,880
92,701,898
34,702,902
50,703,871
67,704,847
23,705,837
56,706,874
26,707,888
93,708,836
97,709,864
50,710,831
91,711,838
20,712,870
46,713,881
74,714,817
48,715,913
17,716,864
30,717,909
21,718,889
44,719,904
30,720,887
92,721,879
46,722,831
22,723,923
39,724,847
84,725,892
87,726,922
43,727,852
64,728,901
65,729,906
74,730,903
39,731,893
80,732,904
82,733,864
62,734,925
40,735,891
98,736,911
47,737,916
83,738,901
39,739,926
60,740,885
18,741,881
45,742,940
48,743,854
85,744,923
32,745,919
37,746,847
77,747,872
18,748,882
47,749,855
