VERTEX,minute
97,0
96,0
10,0
1,0
10,0
91,1
93,1
4,1
10,1
8,1
98,2
97,2
8,2
6,2
0,2
90,3
98,3
8,3
6,3
5,3
93,4
96,4
4,4
7,4
9,4
98,5
92,5
3,5
3,5
6,5
96,6
93,6
3,6
2,6
0,6
98,7
91,7
4,7
10,7
4,7
95,8
93,8
10,8
0,8
10,8
91,9
97,9
8,9
0,9
6,9
98,10
96,10
1,10
6,10
4,10
94,11
92,11
4,11
6,11
7,11
95,12
94,12
9,12
6,12
0,12
96,13
92,13
5,13
6,13
6,13
99,14
90,14
7,14
1,14
9,14
99,15
99,15
6,15
5,15
2,15
95,16
98,16
9,16
5,16
4,16
98,17
91,17
10,17
4,17
5,17
91,18
96,18
9,18
10,18
10,18
97,19
90,19
3,19
8,19
7,19
98,20
95,20
7,20
10,20
8,20
95,21
91,21
3,21
0,21
5,21
97,22
92,22
6,22
9,22
4,22
96,23
94,23
3,23
6,23
2,23
99,24
91,24
3,24
10,24
0,24
96,25
95,25
1,25
2,25
5,25
91,26
94,26
1,26
3,26
10,26
99,27
91,27
6,27
0,27
6,27
98,28
94,28
4,28
6,28
6,28
99,29
93,29
10,29
1,29
9,29
96,30
99,30
10,30
9,30
10,30
98,31
98,31
1,31
5,31
8,31
93,32
97,32
6,32
6,32
1,32
99,33
99,33
7,33
6,33
6,33
93,34
98,34
0,34
7,34
3,34
96,35
99,35
8,35
2,35
5,35
97,36
97,36
2,36
5,36
10,36
98,37
92,37
4,37
2,37
3,37
94,38
94,38
3,38
0,38
6,38
98,39
91,39
9,39
2,39
8,39
97,40
99,40
2,40
3,40
2,40
91,41
92,41
7,41
3,41
1,41
99,42
98,42
2,42
9,42
9,42
95,43
91,43
0,43
1,43
3,43
91,44
95,44
10,44
4,44
7,44
95,45
95,45
7,45
3,45
4,45
97,46
94,46
8,46
6,46
1,46
95,47
97,47
5,47
5,47
2,47
94,48
93,48
0,48
2,48
9,48
90,49
98,49
10,49
5,49
5,49
99,50
97,50
10,50
10,50
6,50
99,51
92,51
6,51
10,51
7,51
97,52
90,52
7,52
7,52
4,52
96,53
91,53
3,53
5,53
4,53
99,54
94,54
4,54
1,54
10,54
98,55
99,55
0,55
10,55
6,55
95,56
97,56
0,56
1,56
3,56
95,57
98,57
0,57
0,57
9,57
93,58
96,58
9,58
10,58
6,58
91,59
97,59
5,59
8,59
7,59
91,60
92,60
4,60
7,60
2,60
97,61
96,61
6,61
1,61
6,61
99,62
94,62
8,62
9,62
5,62
93,63
91,63
10,63
9,63
3,63
96,64
91,64
1,64
8,64
8,64
97,65
90,65
10,65
7,65
10,65
94,66
93,66
10,66
3,66
3,66
93,67
96,67
10,67
10,67
3,67
95,68
94,68
1,68
4,68
5,68
92,69
97,69
7,69
10,69
1,69
90,70
93,70
3,70
1,70
9,70
90,71
97,71
8,71
5,71
3,71
94,72
92,72
5,72
5,72
5,72
95,73
98,73
3,73
6,73
0,73
93,74
94,74
4,74
0,74
0,74
92,75
91,75
9,75
5,75
2,75
93,76
98,76
9,76
10,76
8,76
90,77
97,77
2,77
8,77
10,77
93,78
