VERTEX,minute
82,0
92,1
90,2
76,3
84,4
88,5
90,6
77,7
75,8
82,9
80,10
77,11
79,12
96,13
90,14
90,15
89,16
91,17
96,18
96,19
95,20
91,21
92,22
88,23
79,24
95,25
81,26
81,27
87,28
86,29
80,30
88,31
86,32
79,33
77,34
82,35
77,36
87,37
85,38
91,39
99,40
85,41
94,42
77,43
96,44
87,45
75,46
97,47
77,48
91,49
97,50
94,51
95,52
97,53
83,54
89,55
94,56
83,57
98,58
87,59
95,60
89,61
79,62
94,63
92,64
85,65
83,66
92,67
91,68
89,69
88,70
77,71
91,72
89,73
84,74
87,75
97,76
81,77
89,78
91,79
85,80
87,81
82,82
81,83
92,84
81,85
80,86
85,87
82,88
82,89
88,90
91,91
87,92
94,93
91,94
94,95
84,96
75,97
79,98
96,99
76,100
83,101
87,102
78,103
91,104
91,105
82,106
88,107
94,108
92,109
87,110
80,111
80,112
96,113
84,114
98,115
89,116
92,117
76,118
77,119
77,120
87,121
87,122
86,123
86,124
87,125
80,126
93,127
87,128
86,129
97,130
96,131
90,132
97,133
81,134
97,135
86,136
94,137
80,138
80,139
83,140
80,141
89,142
84,143
82,144
80,145
97,146
99,147
85,148
83,149
82,150
85,151
83,152
85,153
90,154
81,155
97,156
85,157
91,158
80,159
88,160
97,161
96,162
77,163
81,164
96,165
86,166
98,167
87,168
97,169
77,170
82,171
92,172
80,173
95,174
85,175
79,176
90,177
79,178
90,179
75,180
82,181
96,182
81,183
84,184
82,185
94,186
85,187
85,188
98,189
83,190
96,191
91,192
92,193
99,194
76,195
78,196
97,197
81,198
97,199
80,200
93,201
92,202
75,203
99,204
82,205
93,206
96,207
85,208
80,209
83,210
81,211
90,212
90,213
84,214
96,215
89,216
99,217
75,218
77,219
79,220
84,221
90,222
98,223
90,224
93,225
78,226
82,227
86,228
78,229
96,230
91,231
90,232
83,233
75,234
91,235
92,236
89,237
82,238
99,239
91,240
96,241
92,242
79,243
98,244
84,245
98,246
95,247
77,248
87,249
76,250
85,251
93,252
98,253
91,254
80,255
75,256
89,257
81,258
96,259
90,260
75,261
75,262
82,263
85,264
97,265
89,266
97,267
83,268
98,269
92,270
92,271
78,272
83,273
76,274
83,275
83,276
90,277
85,278
95,279
75,280
96,281
96,282
95,283
95,284
98,285
82,286
81,287
84,288
83,289
76,290
88,291
87,292
87,293
91,294
97,295
90,296
75,297
91,298
79,299
88,300
92,301
83,302
78,303
77,304
78,305
75,306
91,307
99,308
95,309
77,310
92,311
83,312
80,313
89,314
98,315
93,316
81,317
84,318
85,319
88,320
79,321
88,322
81,323
77,324
77,325
83,326
98,327
87,328
91,329
97,330
81,331
81,332
82,333
76,334
87,335
95,336
97,337
80,338
80,339
97,340
78,341
79,342
88,343
80,344
93,345
94,346
84,347
85,348
87,349
95,350
82,351
95,352
77,353
96,354
91,355
76,356
87,357
85,358
89,359
76,360
89,361
84,362
93,363
90,364
93,365
89,366
87,367
88,368
93,369
83,370
95,371
97,372
76,373
83,374
77,375
79,376
77,377
80,378
96,379
75,380
77,381
83,382
84,383
92,384
80,385
90,386
78,387
86,388
85,389
93,390
94,391
85,392
94,393
93,394
79,395
84,396
84,397
75,398
91,399
78,400
81,401
96,402
79,403
79,404
86,405
93,406
94,407
79,408
76,409
78,410
97,411
86,412
96,413
97,414
98,415
89,416
91,417
76,418
97,419
95,420
