VERTEX,minute
59,0
77,0
14,0
29,0
22,0
81,0
67,0
23,0
47,0
13,0
71,0
26,0
89,0
5,0
42,0
13,0
83,0
84,0
1,0
32,0
30,1
9,1
35,1
9,1
61,1
15,1
49,1
45,1
28,1
10,1
52,1
26,1
53,1
5,1
19,1
80,1
95,1
51,1
79,1
89,1
8,2
18,2
30,2
21,2
74,2
27,2
77,2
17,2
75,2
2,2
97,2
65,2
34,2
1,2
94,2
52,2
57,2
35,2
17,2
63,2
65,3
18,3
71,3
55,3
26,3
99,3
94,3
56,3
54,3
29,3
19,3
13,3
9,3
31,3
90,3
65,3
36,3
96,3
77,3
21,3
80,4
13,4
95,4
62,4
64,4
56,4
80,4
52,4
51,4
60,4
39,4
14,4
24,4
12,4
34,4
53,4
41,4
73,4
93,4
1,4
6,5
40,5
9,5
61,5
64,5
90,5
59,5
40,5
84,5
38,5
93,5
68,5
29,5
66,5
1,5
62,5
35,5
74,5
50,5
9,5
97,6
78,6
93,6
65,6
14,6
31,6
28,6
63,6
13,6
50,6
53,6
79,6
57,6
82,6
95,6
86,6
67,6
38,6
21,6
85,6
34,7
53,7
48,7
81,7
56,7
56,7
79,7
3,7
66,7
41,7
5,7
40,7
42,7
84,7
46,7
76,7
55,7
56,7
88,7
22,7
19,8
59,8
3,8
76,8
93,8
89,8
35,8
5,8
37,8
14,8
12,8
82,8
0,8
33,8
21,8
1,8
61,8
60,8
45,8
82,8
9,9
14,9
31,9
54,9
52,9
67,9
81,9
43,9
30,9
11,9
41,9
5,9
46,9
21,9
97,9
14,9
22,9
73,9
59,9
16,9
43,10
12,10
20,10
2,10
63,10
92,10
88,10
13,10
52,10
51,10
39,10
28,10
64,10
21,10
80,10
73,10
8,10
72,10
85,10
40,10
75,11
19,11
65,11
12,11
37,11
7,11
23,11
61,11
54,11
63,11
2,11
4,11
8,11
29,11
67,11
87,11
45,11
15,11
90,11
61,11
77,12
39,12
5,12
10,12
24,12
24,12
24,12
82,12
60,12
1,12
14,12
47,12
75,12
10,12
65,12
77,12
45,12
64,12
41,12
66,12
81,13
90,13
42,13
19,13
6,13
69,13
16,13
26,13
63,13
44,13
42,13
85,13
18,13
71,13
3,13
46,13
51,13
52,13
68,13
34,13
53,14
62,14
40,14
55,14
90,14
98,14
11,14
76,14
33,14
93,14
38,14
48,14
80,14
74,14
96,14
13,14
61,14
71,14
46,14
54,14
75,15
21,15
77,15
80,15
31,15
3,15
0,15
61,15
5,15
56,15
91,15
27,15
0,15
24,15
81,15
62,15
13,15
95,15
41,15
18,15
25,16
85,16
39,16
50,16
21,16
62,16
19,16
24,16
89,16
73,16
91,16
95,16
60,16
63,16
3,16
91,16
98,16
19,16
75,16
80,16
64,17
52,17
58,17
28,17
71,17
31,17
84,17
46,17
91,17
90,17
91,17
37,17
65,17
53,17
9,17
47,17
2,17
74,17
62,17
52,17
60,18
50,18
15,18
18,18
9,18
40,18
70,18
25,18
80,18
72,18
9,18
22,18
33,18
33,18
44,18
39,18
48,18
79,18
79,18
51,18
8,19
18,19
17,19
20,19
37,19
18,19
81,19
19,19
72,19
52,19
88,19
28,19
32,19
19,19
82,19
84,19
23,19
76,19
41,19
55,19
33,20
59,20
54,20
24,20
7,20
41,20
16,20
57,20
81,20
66,20
82,20
30,20
21,20
5,20
1,20
55,20
19,20
19,20
56,20
61,20
13,21
95,21
99,21
49,21
79,21
93,21
55,21
77,21
15,21
39,21
87,21
71,21
92,21
1,21
28,21
56,21
79,21
49,21
42,21
80,21
34,22
37,22
98,22
98,22
88,22
99,22
33,22
92,22
91,22
26,22
33,22
91,22
83,22
12,22
76,22
80,22
72,22
12,22
75,22
48,22
47,23
90,23
15,23
52,23
90,23
81,23
89,23
40,23
94,23
31,23
35,23
13,23
86,23
63,23
66,23
60,23
38,23
50,23
45,23
82,23
58,24
45,24
93,24
63,24
86,24
79,24
17,24
35,24
6,24
67,24
62,24
30,24
44,24
94,24
88,24
37,24
19,24
39,24
45,24
91,24
64,25
78,25
35,25
66,25
36,25
21,25
66,25
65,25
41,25
13,25
59,25
91,25
25,25
43,25
49,25
15,25
22,25
28,25
84,25
73,25
92,26
87,26
69,26
74,26
32,26
60,26
70,26
12,26
97,26
1,26
20,26
39,26
16,26
54,26
40,26
85,26
20,26
61,26
23,26
30,26
