num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward
5,1000,0.005,2151,523,21.48726376335251
10,1000,0.01,2472,1410,55.90800951625694
50,1000,0.05,5350,2333,94.22455573505655
75,1000,0.075,9216,2465,98.28548644338117
100,1000,0.1,12494,2478,98.52882703777335
5,5000,0.001,6802,2121,17.03204047217538
10,5000,0.002,8347,3029,24.350832060455023
50,5000,0.01,19062,7303,58.527007533258534
75,5000,0.015,22793,8780,70.23438124950005
100,5000,0.02,19938,10063,80.25360874072892
5,10000,0.0005,13120,2870,11.491031390134529
10,10000,0.001,14833,4516,18.17011346262171
50,10000,0.005,23043,10744,43.129541166552926
75,10000,0.0075,29292,12768,51.22567703109328
100,10000,0.01,32259,14498,58.250632809674954
5,15000,0.0003333333333333333,17019,2399,6.411695531323498
10,15000,0.0006666666666666666,20103,6169,16.48759888817618
50,15000,0.0033333333333333335,32042,13702,36.62069702800941
75,15000,0.005,36984,16342,43.67650203121659
100,15000,0.006666666666666667,40843,18682,49.93051101133205
