num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward
10,100,0.1,1101,160,62.745098039215684
50,100,0.5,6980,260,100.0
100,100,1.0,14647,234,100.0
200,100,2.0,28391,244,100.0
300,100,3.0,43039,246,100.0
400,100,4.0,56874,236,100.0
500,100,5.0,70503,250,100.0
10,200,0.05,1228,340,71.57894736842105
50,200,0.25,6916,455,94.20289855072464
100,200,0.5,13392,479,97.5560081466395
200,200,1.0,27910,473,98.74739039665971
300,200,1.5,42817,493,100.0
400,200,2.0,56793,511,100.0
500,200,2.5,71086,485,100.0
10,300,0.03333333333333333,1371,529,69.97354497354497
50,300,0.16666666666666666,6713,732,97.6
100,300,0.3333333333333333,13719,737,100.0
200,300,0.6666666666666666,27331,764,100.0
300,300,1.0,43147,764,100.0
400,300,1.3333333333333333,55711,729,100.0
500,300,1.6666666666666667,70252,731,100.0
10,400,0.025,1344,647,63.3692458374143
50,400,0.125,6169,960,96.28886659979939
100,400,0.25,13579,918,95.625
200,400,0.5,27602,1009,100.0
300,400,0.75,41991,1002,99.800796812749
400,400,1.0,56331,1003,99.70178926441352
500,400,1.25,70746,1010,100.0
10,500,0.02,1453,763,60.79681274900398
50,500,0.1,5912,1201,97.48376623376623
100,500,0.2,13276,1234,99.67689822294022
200,500,0.4,27841,1272,99.29742388758783
300,500,0.6,41672,1267,100.0
400,500,0.8,55944,1204,99.91701244813278
500,500,1.0,69800,1276,100.0
10,750,0.013333333333333334,1863,998,55.16860143725816
50,750,0.06666666666666667,5773,1758,95.69951007076756
100,750,0.13333333333333333,13000,1839,99.13746630727763
200,750,0.26666666666666666,27429,1819,99.83534577387486
300,750,0.4,41365,1829,99.94535519125684
400,750,0.5333333333333333,56081,1879,99.94680851063829
500,750,0.6666666666666666,70461,1831,100.0
