num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward
10,100,0.1,1237,205,80.3921568627451
50,100,0.5,6851,243,97.98387096774194
100,100,1.0,13846,239,97.15447154471545
200,100,2.0,28315,238,97.94238683127571
300,100,3.0,42049,263,100.0
400,100,4.0,56382,246,100.0
500,100,5.0,71686,265,100.0
10,200,0.05,1112,406,78.07692307692308
50,200,0.25,6622,495,99.79838709677419
100,200,0.5,13558,527,99.81060606060606
200,200,1.0,27654,489,100.0
300,200,1.5,41854,547,100.0
400,200,2.0,56436,498,100.0
500,200,2.5,70182,511,100.0
10,300,0.03333333333333333,1332,487,65.63342318059298
50,300,0.16666666666666666,6256,755,99.6042216358839
100,300,0.3333333333333333,13432,762,98.57697283311772
200,300,0.6666666666666666,28009,740,100.0
300,300,1.0,41811,747,100.0
400,300,1.3333333333333333,56470,755,99.6042216358839
500,300,1.6666666666666667,70567,812,100.0
10,400,0.025,1354,713,70.03929273084479
50,400,0.125,6329,996,99.20318725099602
100,400,0.25,13226,1011,99.60591133004925
200,400,0.5,27133,980,98.39357429718876
300,400,0.75,41407,1027,100.0
400,400,1.0,55394,1000,100.0
500,400,1.25,70367,1013,99.60668633235005
10,500,0.02,1469,650,52.2508038585209
50,500,0.1,6067,1211,97.81906300484653
100,500,0.2,12608,1192,99.7489539748954
200,500,0.4,27333,1257,99.84114376489276
300,500,0.6,41476,1256,100.0
400,500,0.8,56539,1234,99.91902834008097
500,500,1.0,70249,1223,100.0
10,750,0.013333333333333334,1866,1012,54.17558886509636
50,750,0.06666666666666667,5693,1682,88.01674515960231
100,750,0.13333333333333333,13125,1766,98.38440111420613
200,750,0.26666666666666666,27286,1895,99.68437664387164
300,750,0.4,41904,1871,99.73347547974414
400,750,0.5333333333333333,54488,1899,99.94736842105263
500,750,0.6666666666666666,69442,1867,100.0
