num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward
5,1000,0.005,3665,2523,100.0
10,1000,0.01,5479,2448,100.0
50,1000,0.05,25067,2466,100.0
75,1000,0.075,32235,2501,100.0
100,1000,0.1,45126,2506,100.0
5,5000,0.001,8404,6498,52.44128803163587
10,5000,0.002,11230,12400,100.0
50,5000,0.01,24425,12389,100.0
75,5000,0.015,35163,12442,100.0
100,5000,0.02,49757,12499,100.0
5,10000,0.0005,13691,7171,28.84321454428445
10,10000,0.001,15515,11604,46.93795000404498
50,10000,0.005,30741,24669,100.0
75,10000,0.0075,40332,24715,100.0
100,10000,0.01,53369,24752,100.0
5,15000,0.0003333333333333333,17177,3394,9.12954594361954
10,15000,0.0006666666666666666,19797,9945,26.751129761136216
50,15000,0.0033333333333333335,35765,37176,100.0
75,15000,0.005,50288,37176,100.0
100,15000,0.006666666666666667,61284,37176,100.0
