num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward
10,750,0.013333333333333334,5405,1866,99.6262680192205
50,750,0.06666666666666667,21200,1882,100.0
100,750,0.13333333333333333,45061,1844,100.0
200,750,0.26666666666666666,84546,1868,100.0
300,750,0.4,125358,1925,100.0
400,750,0.5333333333333333,171292,1834,100.0
500,750,0.6666666666666666,220501,1873,100.0
750,750,1.0,320674,1847,100.0
10,1500,0.006666666666666667,6805,3721,100.0
50,1500,0.03333333333333333,22350,3711,100.0
100,1500,0.06666666666666667,44819,3701,100.0
200,1500,0.13333333333333333,89430,3652,100.0
300,1500,0.2,128258,3675,100.0
400,1500,0.26666666666666666,172189,3733,100.0
500,1500,0.3333333333333333,214440,3783,100.0
750,1500,0.5,321424,3769,100.0
10,2250,0.0044444444444444444,7689,5596,100.0
50,2250,0.022222222222222223,26764,5577,100.0
100,2250,0.044444444444444446,49344,5614,100.0
200,2250,0.08888888888888889,93155,5597,100.0
300,2250,0.13333333333333333,128105,5620,100.0
400,2250,0.17777777777777778,167667,5552,100.0
500,2250,0.2222222222222222,212091,5561,100.0
750,2250,0.3333333333333333,322174,5600,100.0
10,3000,0.0033333333333333335,8297,7459,99.90624162871686
50,3000,0.016666666666666666,25144,7444,100.0
100,3000,0.03333333333333333,47329,7478,100.0
200,3000,0.06666666666666667,86770,7440,100.0
300,3000,0.1,134106,7476,100.0
400,3000,0.13333333333333333,173070,7445,100.0
500,3000,0.16666666666666666,219471,7460,100.0
750,3000,0.25,322924,7455,100.0
10,3750,0.0026666666666666666,7404,6935,74.3859272766277
50,3750,0.013333333333333334,26012,9323,100.0
100,3750,0.02666666666666667,48409,9323,100.0
200,3750,0.05333333333333334,91597,9323,100.0
300,3750,0.08,129817,9323,100.0
400,3750,0.10666666666666667,173877,9323,100.0
500,3750,0.13333333333333333,217111,9323,100.0
750,3750,0.2,323674,9323,100.0
