num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward
10,100,0.1,4169,257,100.0
50,100,0.5,22945,256,100.0
100,100,1.0,44055,260,100.0
200,100,2.0,86920,266,100.0
300,100,3.0,126048,260,100.0
400,100,4.0,173486,256,100.0
500,100,5.0,213566,266,100.0
10,200,0.05,4670,508,100.0
50,200,0.25,21935,527,100.0
100,200,0.5,47042,477,100.0
200,200,1.0,85670,479,100.0
300,200,1.5,124595,515,100.0
400,200,2.0,173356,522,100.0
500,200,2.5,208421,544,100.0
10,300,0.03333333333333333,5832,742,100.0
50,300,0.16666666666666666,21237,766,100.0
100,300,0.3333333333333333,48900,738,100.0
200,300,0.6666666666666666,87694,771,100.0
300,300,1.0,127211,755,100.0
400,300,1.3333333333333333,177903,741,100.0
500,300,1.6666666666666667,218679,756,100.0
10,400,0.025,5141,1059,100.0
50,400,0.125,21994,1036,100.0
100,400,0.25,43032,1017,100.0
200,400,0.5,84651,1045,100.0
300,400,0.75,127959,1036,100.0
400,400,1.0,173672,1055,100.0
500,400,1.25,216546,1015,100.0
10,500,0.02,6043,1279,100.0
50,500,0.1,23042,1274,100.0
100,500,0.2,45312,1289,100.0
200,500,0.4,86041,1278,100.0
300,500,0.6,128592,1306,100.0
400,500,0.8,170188,1313,100.0
500,500,1.0,211675,1257,100.0
10,750,0.013333333333333334,5455,1912,100.0
50,750,0.06666666666666667,21887,1953,100.0
100,750,0.13333333333333333,45313,1942,100.0
200,750,0.26666666666666666,86738,1877,100.0
300,750,0.4,126806,1876,100.0
400,750,0.5333333333333333,170878,1883,100.0
500,750,0.6666666666666666,212672,1893,100.0
