num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward
10,100,0.1,4845,247,100.0
50,100,0.5,22427,242,100.0
100,100,1.0,45151,263,100.0
200,100,2.0,90459,238,100.0
300,100,3.0,128171,228,100.0
400,100,4.0,173039,242,100.0
500,100,5.0,210079,244,100.0
750,100,7.5,320024,232,100.0
10,200,0.05,4190,499,99.0079365079365
50,200,0.25,22765,485,100.0
100,200,0.5,44671,490,100.0
200,200,1.0,82307,507,100.0
300,200,1.5,130930,486,100.0
400,200,2.0,166690,513,100.0
500,200,2.5,215073,508,100.0
750,200,3.75,320124,489,100.0
10,300,0.03333333333333333,6740,743,98.28042328042328
50,300,0.16666666666666666,22753,760,100.0
100,300,0.3333333333333333,44276,754,100.0
200,300,0.6666666666666666,82742,731,100.0
300,300,1.0,124695,753,100.0
400,300,1.3333333333333333,170569,753,100.0
500,300,1.6666666666666667,208008,739,100.0
750,300,2.5,320224,763,100.0
10,400,0.025,4576,982,100.0
50,400,0.125,22314,988,100.0
100,400,0.25,42131,997,100.0
200,400,0.5,87816,958,100.0
300,400,0.75,129242,1008,100.0
400,400,1.0,171146,1012,100.0
500,400,1.25,215644,999,100.0
750,400,1.875,320324,979,100.0
10,500,0.02,5837,1247,100.0
50,500,0.1,23652,1276,100.0
100,500,0.2,46838,1216,100.0
200,500,0.4,87079,1263,100.0
300,500,0.6,130344,1246,100.0
400,500,0.8,167664,1249,100.0
500,500,1.0,216647,1244,100.0
750,500,1.5,320424,1256,100.0
10,750,0.013333333333333334,6730,1862,99.89270386266095
50,750,0.06666666666666667,23356,1864,100.0
100,750,0.13333333333333333,44178,1864,100.0
200,750,0.26666666666666666,84243,1864,100.0
300,750,0.4,129840,1864,100.0
400,750,0.5333333333333333,166469,1864,100.0
500,750,0.6666666666666666,214192,1864,100.0
750,750,1.0,320674,1864,100.0
