num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward
10,100,0.1,5419,248,100.0
50,100,0.5,23385,254,100.0
100,100,1.0,46991,244,100.0
200,100,2.0,84396,265,100.0
300,100,3.0,127509,256,100.0
400,100,4.0,174756,244,100.0
500,100,5.0,213742,252,100.0
10,200,0.05,4273,522,99.23954372623575
50,200,0.25,23891,495,100.0
100,200,0.5,42424,474,100.0
200,200,1.0,82516,499,100.0
300,200,1.5,127384,505,100.0
400,200,2.0,173907,480,100.0
500,200,2.5,215230,493,100.0
10,300,0.03333333333333333,2920,728,100.0
50,300,0.16666666666666666,20677,762,100.0
100,300,0.3333333333333333,41835,758,100.0
200,300,0.6666666666666666,86347,773,100.0
300,300,1.0,125816,761,100.0
400,300,1.3333333333333333,171708,755,100.0
500,300,1.6666666666666667,217887,762,100.0
10,400,0.025,5002,1006,99.50544015825915
50,400,0.125,19705,992,100.0
100,400,0.25,44242,959,100.0
200,400,0.5,84461,1010,100.0
300,400,0.75,125365,988,100.0
400,400,1.0,167624,1023,100.0
500,400,1.25,216163,979,100.0
10,500,0.02,4970,1223,99.43089430894308
50,500,0.1,22494,1242,100.0
100,500,0.2,45363,1242,100.0
200,500,0.4,86124,1224,100.0
300,500,0.6,125500,1220,100.0
400,500,0.8,173439,1281,100.0
500,500,1.0,215531,1264,100.0
10,750,0.013333333333333334,5225,1857,100.0
50,750,0.06666666666666667,23549,1937,100.0
100,750,0.13333333333333333,46477,1882,100.0
200,750,0.26666666666666666,83975,1907,100.0
300,750,0.4,139514,1831,100.0
400,750,0.5333333333333333,170731,1903,100.0
500,750,0.6666666666666666,212109,1929,100.0
