num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward,iter
10,400,0.025,1458,664,66.59979939819458,0
50,400,0.125,6311,962,98.86947584789311,0
100,400,0.25,13410,959,99.79188345473466,0
200,400,0.5,28081,1027,99.32301740812379,0
300,400,0.75,42461,988,99.89888776541962,0
400,400,1.0,55746,1001,100.0,0
500,400,1.25,69835,1012,100.0,0
750,400,1.875,106171,971,100.0,0
10,500,0.02,1587,727,57.42496050552922,0
50,500,0.1,6163,1233,97.93486894360603,0
100,500,0.2,13628,1203,97.80487804878048,0
200,500,0.4,27891,1215,99.02200488997555,0
300,500,0.6,41197,1239,99.04076738609112,0
400,500,0.8,56421,1265,99.68479117415288,0
500,500,1.0,70110,1238,100.0,0
750,500,1.5,106012,1260,100.0,0
10,750,0.013333333333333334,1834,903,46.30769230769231,0
50,750,0.06666666666666667,6022,1828,97.59743726641751,0
100,750,0.13333333333333333,13237,1796,97.39696312364426,0
200,750,0.26666666666666666,27271,1823,100.0,0
300,750,0.4,41111,1855,98.93333333333332,0
400,750,0.5333333333333333,56319,1872,99.83999999999999,0
500,750,0.6666666666666666,69519,1870,100.0,0
750,750,1.0,105490,1892,100.0,0
10,1500,0.006666666666666667,3848,1398,38.196721311475414,0
50,1500,0.03333333333333333,5747,3289,88.93996755002705,0
100,1500,0.06666666666666667,11366,3722,97.92159957905814,0
200,1500,0.13333333333333333,25028,3654,98.2786444324906,0
300,1500,0.2,38938,3723,99.43910256410257,0
400,1500,0.26666666666666666,53852,3752,99.76070194097314,0
500,1500,0.3333333333333333,67769,3723,99.59871589085071,0
750,1500,0.5,104039,3729,99.91961414790997,0
10,2250,0.0044444444444444444,3881,1678,29.94824201320721,0
50,2250,0.022222222222222223,7364,4340,78.2122905027933,0
100,2250,0.044444444444444446,10863,5268,93.35459861775651,0
200,2250,0.08888888888888889,24590,5564,98.28652181593358,0
300,2250,0.13333333333333333,38434,5582,99.09462098349015,0
400,2250,0.17777777777777778,53176,5518,99.67485549132948,0
500,2250,0.2222222222222222,66557,5570,99.62439635127885,0
750,2250,0.3333333333333333,102597,5553,99.62325080731969,0
10,3000,0.0033333333333333335,5471,2073,27.99459824442944,0
50,3000,0.016666666666666666,10707,5306,71.59627580623398,0
100,3000,0.03333333333333333,10752,7092,94.37125748502993,0
200,3000,0.06666666666666667,23469,7248,97.00214132762312,0
300,3000,0.1,37340,7356,98.64556792275714,0
400,3000,0.13333333333333333,51296,7361,99.09800753904146,0
500,3000,0.16666666666666666,64904,7382,99.24710943802097,0
750,3000,0.25,101050,7410,99.50315563314086,0
10,400,0.025,1288,695,67.54130223517978,1
50,400,0.125,6041,1014,99.31439764936337,1
100,400,0.25,13742,944,98.6415882967607,1
200,400,0.5,28181,995,99.5995995995996,1
300,400,0.75,42268,1005,100.0,1
400,400,1.0,56434,972,100.0,1
500,400,1.25,70875,1010,99.80237154150198,1
750,400,1.875,106213,973,100.0,1
10,500,0.02,1523,844,69.75206611570248,1
50,500,0.1,6170,1225,94.15833973866256,1
100,500,0.2,13737,1269,99.21813917122752,1
200,500,0.4,28217,1239,100.0,1
300,500,0.6,42397,1250,100.0,1
400,500,0.8,55739,1253,100.0,1
500,500,1.0,70554,1208,100.0,1
750,500,1.5,105894,1234,100.0,1
10,750,0.013333333333333334,1800,1010,53.609341825902334,1
50,750,0.06666666666666667,6082,1728,92.3076923076923,1
100,750,0.13333333333333333,12615,1831,97.96682718031032,1
200,750,0.26666666666666666,28109,1854,100.0,1
300,750,0.4,41279,1875,99.78712080894093,1
400,750,0.5333333333333333,55579,1843,100.0,1
500,750,0.6666666666666666,69433,1848,99.56896551724138,1
750,750,1.0,105507,1849,100.0,1
10,1500,0.006666666666666667,4549,1384,36.85752330226365,1
50,1500,0.03333333333333333,6035,3328,90.18970189701896,1
100,1500,0.06666666666666667,11142,3694,98.40170484816197,1
200,1500,0.13333333333333333,25910,3593,97.66240826311497,1
300,1500,0.2,40413,3692,99.48800862301268,1
400,1500,0.26666666666666666,53065,3777,99.63070429965708,1
500,1500,0.3333333333333333,67900,3711,99.2776886035313,1
750,1500,0.5,103968,3745,99.86666666666667,1
10,2250,0.0044444444444444444,5720,2082,37.026498310510405,1
50,2250,0.022222222222222223,9303,4294,77.45310245310245,1
100,2250,0.044444444444444446,10621,5439,97.29874776386404,1
200,2250,0.08888888888888889,24311,5486,97.71998574991093,1
300,2250,0.13333333333333333,39066,5548,99.14224446032881,1
400,2250,0.17777777777777778,51659,5521,99.35216843620658,1
500,2250,0.2222222222222222,66715,5544,99.31924041562165,1
750,2250,0.3333333333333333,102510,5588,99.85704074338814,1
10,3000,0.0033333333333333335,5511,2278,30.6100510615426,1
50,3000,0.016666666666666666,15137,5586,74.58939778341568,1
100,3000,0.03333333333333333,11002,6858,92.26422709538544,1
200,3000,0.06666666666666667,23187,7257,96.79871948779511,1
300,3000,0.1,36329,7343,98.88230541341233,1
400,3000,0.13333333333333333,51767,7398,99.2354124748491,1
500,3000,0.16666666666666666,65396,7399,98.95680085595828,1
750,3000,0.25,101091,7434,99.47812123645122,1
10,400,0.025,1352,696,71.8266253869969,2
50,400,0.125,6528,962,96.68341708542714,2
100,400,0.25,13309,1029,100.0,2
200,400,0.5,27670,1011,100.0,2
300,400,0.75,42363,976,100.0,2
400,400,1.0,56547,980,99.59349593495935,2
500,400,1.25,71475,1008,100.0,2
750,400,1.875,106235,1006,100.0,2
10,500,0.02,1364,450,36.231884057971016,2
50,500,0.1,6668,1181,96.01626016260163,2
100,500,0.2,12823,1245,99.6,2
200,500,0.4,27389,1240,99.43865276663993,2
300,500,0.6,41930,1240,100.0,2
400,500,0.8,55968,1255,100.0,2
500,500,1.0,70390,1216,100.0,2
750,500,1.5,105933,1215,100.0,2
10,750,0.013333333333333334,2141,1077,58.310774228478614,2
50,750,0.06666666666666667,5914,1831,97.86210582576163,2
100,750,0.13333333333333333,13193,1845,98.98068669527898,2
200,750,0.26666666666666666,27730,1845,99.83766233766234,2
300,750,0.4,41954,1881,99.20886075949366,2
400,750,0.5333333333333333,54386,1914,99.5837669094693,2
500,750,0.6666666666666666,70268,1856,100.0,2
750,750,1.0,105453,1897,100.0,2
10,1500,0.006666666666666667,2791,1434,38.1281574049455,2
50,1500,0.03333333333333333,5703,3426,91.70235546038545,2
100,1500,0.06666666666666667,11685,3620,97.05093833780161,2
200,1500,0.13333333333333333,25700,3676,98.81720430107526,2
300,1500,0.2,39081,3638,99.07407407407408,2
400,1500,0.26666666666666666,54111,3680,100.0,2
500,1500,0.3333333333333333,68360,3763,99.57660756813972,2
750,1500,0.5,103898,3695,100.0,2
10,2250,0.0044444444444444444,3714,1591,28.446272125871623,2
50,2250,0.022222222222222223,8012,4744,83.90519985850725,2
100,2250,0.044444444444444446,10515,5315,95.0975129719091,2
200,2250,0.08888888888888889,22868,5470,97.94091316025067,2
300,2250,0.13333333333333333,38543,5543,99.51526032315978,2
400,2250,0.17777777777777778,52345,5579,99.55389007851535,2
500,2250,0.2222222222222222,67810,5533,99.03347055664936,2
750,2250,0.3333333333333333,102614,5519,100.0,2
