num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward,iter
10,400,0.025,1370,696,70.58823529411765,0
50,400,0.125,6621,994,99.59919839679358,0
100,400,0.25,13112,962,99.48293691830403,0
200,400,0.5,26662,970,99.89701338825952,0
300,400,0.75,42244,992,100.0,0
400,400,1.0,55677,1006,100.0,0
500,400,1.25,70510,983,100.0,0
750,400,1.875,105575,987,100.0,0
10,500,0.02,1661,762,61.45161290322581,0
50,500,0.1,6438,1250,99.52229299363057,0
100,500,0.2,12669,1229,99.67558799675588,0
200,500,0.4,27633,1241,100.0,0
300,500,0.6,41629,1241,100.0,0
400,500,0.8,56167,1259,100.0,0
500,500,1.0,70021,1287,100.0,0
750,500,1.5,105428,1236,100.0,0
10,750,0.013333333333333334,2004,1067,57.18113612004287,0
50,750,0.06666666666666667,5997,1834,97.34607218683652,0
100,750,0.13333333333333333,13028,1821,98.2200647249191,0
200,750,0.26666666666666666,26325,1847,99.1411701556629,0
300,750,0.4,41789,1811,99.23287671232876,0
400,750,0.5333333333333333,54711,1874,99.78700745473908,0
500,750,0.6666666666666666,70168,1853,99.94606256742179,0
750,750,1.0,104807,1917,100.0,0
10,1500,0.006666666666666667,3567,1362,36.35878270154832,0
50,1500,0.03333333333333333,5563,3460,92.36518953550453,0
100,1500,0.06666666666666667,11622,3492,95.43591145121619,0
200,1500,0.13333333333333333,25236,3597,96.71954826566281,0
300,1500,0.2,40379,3749,99.73397180101091,0
400,1500,0.26666666666666666,54046,3753,100.0,0
500,1500,0.3333333333333333,67539,3740,99.41520467836257,0
750,1500,0.5,103354,3703,100.0,0
10,2250,0.0044444444444444444,4590,1816,32.91644009425412,0
50,2250,0.022222222222222223,8382,4646,82.97910341132345,0
100,2250,0.044444444444444446,10299,5455,98.27058187713925,0
200,2250,0.08888888888888889,24380,5421,96.33907943842189,0
300,2250,0.13333333333333333,37750,5558,99.30319814186171,0
400,2250,0.17777777777777778,52260,5528,99.12139142908374,0
500,2250,0.2222222222222222,65844,5566,99.44613185635161,0
750,2250,0.3333333333333333,101954,5559,99.80251346499102,0
10,3000,0.0033333333333333335,6433,2316,31.25084334097962,0
50,3000,0.016666666666666666,13165,5481,73.71889710827169,0
100,3000,0.03333333333333333,11006,6837,92.13044064142298,0
200,3000,0.06666666666666667,22467,7152,95.83277502344902,0
300,3000,0.1,36523,7326,99.0133801865117,0
400,3000,0.13333333333333333,50798,7402,99.35570469798658,0
500,3000,0.16666666666666666,65156,7412,99.31662870159454,0
750,3000,0.25,100518,7387,99.71652267818575,0
10,400,0.025,1416,599,62.5914315569488,1
50,400,0.125,6483,970,99.18200408997954,1
100,400,0.25,13326,990,99.19839679358718,1
200,400,0.5,27450,990,99.19839679358718,1
300,400,0.75,41871,1020,100.0,1
400,400,1.0,56307,932,100.0,1
500,400,1.25,70191,936,100.0,1
750,400,1.875,105549,965,100.0,1
10,500,0.02,1524,808,66.50205761316872,1
50,500,0.1,5953,1210,97.73828756058158,1
100,500,0.2,12842,1237,99.11858974358975,1
200,500,0.4,26959,1265,100.0,1
300,500,0.6,42121,1258,100.0,1
400,500,0.8,55611,1240,100.0,1
500,500,1.0,69882,1278,100.0,1
750,500,1.5,105310,1244,100.0,1
10,750,0.013333333333333334,2058,1054,56.3034188034188,1
50,750,0.06666666666666667,5676,1781,96.79347826086956,1
100,750,0.13333333333333333,12612,1819,96.65249734325187,1
200,750,0.26666666666666666,26868,1854,98.93276414087512,1
300,750,0.4,41589,1895,99.94725738396625,1
400,750,0.5333333333333333,54726,1815,100.0,1
500,750,0.6666666666666666,69654,1882,100.0,1
750,750,1.0,104794,1922,100.0,1
10,1500,0.006666666666666667,3781,1578,42.93877551020408,1
50,1500,0.03333333333333333,5738,3408,90.54197662061637,1
100,1500,0.06666666666666667,11247,3572,95.86688137412776,1
200,1500,0.13333333333333333,25924,3659,98.51911685514271,1
300,1500,0.2,39719,3621,99.83457402812242,1
400,1500,0.26666666666666666,53271,3681,99.72907071254402,1
500,1500,0.3333333333333333,67875,3661,99.78195693649495,1
750,1500,0.5,103359,3684,99.86446191379777,1
10,2250,0.0044444444444444444,5953,2128,38.225255972696246,1
50,2250,0.022222222222222223,7118,4693,84.45204246895807,1
100,2250,0.044444444444444446,10441,5196,92.95169946332737,1
200,2250,0.08888888888888889,24064,5517,98.69409660107334,1
300,2250,0.13333333333333333,37765,5552,99.40913160250672,1
400,2250,0.17777777777777778,51262,5509,99.27914939628762,1
500,2250,0.2222222222222222,65521,5522,99.44174320187285,1
750,2250,0.3333333333333333,101758,5543,99.92788894898143,1
10,3000,0.0033333333333333335,5816,2426,32.89937618660158,1
50,3000,0.016666666666666666,12905,5330,71.90071496020505,1
100,3000,0.03333333333333333,10900,6858,91.9549477071601,1
200,3000,0.06666666666666667,22715,7214,97.27615965480044,1
300,3000,0.1,36838,7320,98.24184673198229,1
400,3000,0.13333333333333333,51074,7403,99.43586299529886,1
500,3000,0.16666666666666666,66146,7383,99.27390076643809,1
750,3000,0.25,100480,7404,99.65006729475101,1
10,400,0.025,1311,714,72.04843592330978,2
50,400,0.125,6516,927,91.42011834319527,2
100,400,0.25,13716,986,99.29506545820746,2
200,400,0.5,27245,975,99.79529170931423,2
300,400,0.75,42151,957,98.96587383660807,2
400,400,1.0,55520,1045,99.61868446139181,2
500,400,1.25,69662,980,100.0,2
750,400,1.875,105474,990,100.0,2
10,500,0.02,1442,683,56.306677658697446,2
50,500,0.1,6255,1214,96.12034837688044,2
100,500,0.2,13003,1236,99.75786924939467,2
200,500,0.4,26464,1212,98.85807504078304,2
300,500,0.6,40940,1248,100.0,2
400,500,0.8,56145,1261,100.0,2
500,500,1.0,70918,1232,100.0,2
750,500,1.5,105314,1232,100.0,2
10,750,0.013333333333333334,1925,838,45.150862068965516,2
50,750,0.06666666666666667,5949,1810,96.94697375468667,2
100,750,0.13333333333333333,12228,1784,97.32678668848882,2
200,750,0.26666666666666666,27145,1828,98.8108108108108,2
300,750,0.4,41355,1828,99.94532531437945,2
400,750,0.5333333333333333,54851,1914,99.8435054773083,2
500,750,0.6666666666666666,69597,1850,99.78425026968716,2
750,750,1.0,104775,1849,100.0,2
10,1500,0.006666666666666667,3991,1484,40.15151515151515,2
50,1500,0.03333333333333333,5572,3455,92.7019050174403,2
100,1500,0.06666666666666667,12305,3591,96.74030172413794,2
200,1500,0.13333333333333333,25385,3670,98.57641686811711,2
300,1500,0.2,39163,3631,98.80272108843538,2
