num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward,iter
10,400,0.025,5493,1043,100.0,0
50,400,0.125,20141,983,100.0,0
100,400,0.25,42894,1003,100.0,0
200,400,0.5,86177,978,100.0,0
300,400,0.75,129252,994,100.0,0
400,400,1.0,172082,1012,100.0,0
500,400,1.25,214658,1066,100.0,0
750,400,1.875,320324,986,100.0,0
10,500,0.02,4972,1241,100.0,0
50,500,0.1,22383,1245,100.0,0
100,500,0.2,41715,1273,100.0,0
200,500,0.4,87444,1275,100.0,0
300,500,0.6,131051,1320,100.0,0
400,500,0.8,167496,1266,100.0,0
500,500,1.0,213328,1224,100.0,0
750,500,1.5,320424,1266,100.0,0
10,750,0.013333333333333334,5292,1864,100.0,0
50,750,0.06666666666666667,22472,1884,100.0,0
100,750,0.13333333333333333,40557,1913,100.0,0
200,750,0.26666666666666666,89137,1895,100.0,0
300,750,0.4,125290,1904,100.0,0
400,750,0.5333333333333333,171578,1916,100.0,0
500,750,0.6666666666666666,214860,1870,100.0,0
750,750,1.0,320674,1852,100.0,0
10,1500,0.006666666666666667,5692,3862,100.0,0
50,1500,0.03333333333333333,21153,3773,100.0,0
100,1500,0.06666666666666667,43182,3826,100.0,0
200,1500,0.13333333333333333,92671,3782,100.0,0
300,1500,0.2,127479,3814,100.0,0
400,1500,0.26666666666666666,166015,3808,100.0,0
500,1500,0.3333333333333333,212195,3800,100.0,0
750,1500,0.5,321424,3794,100.0,0
10,2250,0.0044444444444444444,7687,5738,100.0,0
50,2250,0.022222222222222223,21199,5635,100.0,0
100,2250,0.044444444444444446,45330,5617,100.0,0
200,2250,0.08888888888888889,92443,5693,100.0,0
300,2250,0.13333333333333333,137833,5689,100.0,0
400,2250,0.17777777777777778,174252,5719,100.0,0
500,2250,0.2222222222222222,219091,5647,100.0,0
750,2250,0.3333333333333333,322174,5710,100.0,0
10,3000,0.0033333333333333335,8941,7562,100.0,0
50,3000,0.016666666666666666,25610,7576,100.0,0
100,3000,0.03333333333333333,46606,7598,100.0,0
200,3000,0.06666666666666667,92702,7564,100.0,0
300,3000,0.1,130427,7554,100.0,0
400,3000,0.13333333333333333,175359,7546,100.0,0
500,3000,0.16666666666666666,217334,7551,100.0,0
750,3000,0.25,322924,7556,100.0,0
10,400,0.025,5644,982,96.93978282329714,1
50,400,0.125,22907,1011,100.0,1
100,400,0.25,41561,1030,100.0,1
200,400,0.5,82907,1012,100.0,1
300,400,0.75,122925,1043,100.0,1
400,400,1.0,169567,1016,100.0,1
500,400,1.25,212200,983,100.0,1
750,400,1.875,320324,1027,100.0,1
10,500,0.02,4805,1313,100.0,1
50,500,0.1,22317,1233,100.0,1
100,500,0.2,48002,1265,100.0,1
200,500,0.4,90217,1215,100.0,1
300,500,0.6,131849,1245,100.0,1
400,500,0.8,171325,1285,100.0,1
500,500,1.0,218688,1269,100.0,1
750,500,1.5,320424,1275,100.0,1
10,750,0.013333333333333334,7432,1919,100.0,1
50,750,0.06666666666666667,24521,1875,100.0,1
100,750,0.13333333333333333,47891,1924,100.0,1
200,750,0.26666666666666666,84028,1923,100.0,1
300,750,0.4,130367,1924,100.0,1
400,750,0.5333333333333333,174762,1867,100.0,1
500,750,0.6666666666666666,211852,1889,100.0,1
750,750,1.0,320674,1865,100.0,1
10,1500,0.006666666666666667,7406,3806,100.0,1
50,1500,0.03333333333333333,22868,3804,100.0,1
100,1500,0.06666666666666667,48647,3755,100.0,1
200,1500,0.13333333333333333,86987,3757,100.0,1
300,1500,0.2,128393,3798,100.0,1
400,1500,0.26666666666666666,173097,3785,100.0,1
500,1500,0.3333333333333333,212408,3823,100.0,1
750,1500,0.5,321424,3824,100.0,1
10,2250,0.0044444444444444444,7548,5693,100.0,1
50,2250,0.022222222222222223,24822,5673,100.0,1
100,2250,0.044444444444444446,44075,5703,100.0,1
200,2250,0.08888888888888889,87248,5585,100.0,1
300,2250,0.13333333333333333,131384,5642,100.0,1
400,2250,0.17777777777777778,175228,5640,100.0,1
500,2250,0.2222222222222222,213258,5660,100.0,1
750,2250,0.3333333333333333,322174,5694,100.0,1
10,3000,0.0033333333333333335,8659,7518,100.0,1
50,3000,0.016666666666666666,26536,7592,100.0,1
100,3000,0.03333333333333333,44169,7631,100.0,1
200,3000,0.06666666666666667,90154,7621,100.0,1
300,3000,0.1,129397,7631,100.0,1
400,3000,0.13333333333333333,176237,7572,100.0,1
500,3000,0.16666666666666666,217450,7578,100.0,1
750,3000,0.25,322924,7489,100.0,1
10,400,0.025,5604,983,100.0,2
50,400,0.125,21334,1006,100.0,2
100,400,0.25,45329,1057,100.0,2
200,400,0.5,84541,992,100.0,2
300,400,0.75,129172,1013,100.0,2
400,400,1.0,174393,1004,100.0,2
500,400,1.25,211241,1029,100.0,2
750,400,1.875,320324,971,100.0,2
10,500,0.02,5444,1234,100.0,2
50,500,0.1,20749,1285,100.0,2
100,500,0.2,42209,1281,100.0,2
200,500,0.4,81714,1285,100.0,2
300,500,0.6,128456,1230,100.0,2
400,500,0.8,168245,1285,100.0,2
500,500,1.0,211435,1256,100.0,2
750,500,1.5,320424,1234,100.0,2
10,750,0.013333333333333334,4981,1857,99.46438136047135,2
50,750,0.06666666666666667,22438,1916,100.0,2
100,750,0.13333333333333333,47346,1904,100.0,2
200,750,0.26666666666666666,84059,1890,100.0,2
300,750,0.4,126949,1835,100.0,2
400,750,0.5333333333333333,170683,1881,100.0,2
500,750,0.6666666666666666,211714,1895,100.0,2
750,750,1.0,320674,1931,100.0,2
10,1500,0.006666666666666667,6407,3780,100.0,2
50,1500,0.03333333333333333,20530,3774,100.0,2
100,1500,0.06666666666666667,42885,3784,100.0,2
200,1500,0.13333333333333333,88696,3827,100.0,2
300,1500,0.2,127954,3833,100.0,2
400,1500,0.26666666666666666,175718,3758,100.0,2
500,1500,0.3333333333333333,216139,3759,100.0,2
750,1500,0.5,321424,3790,100.0,2
10,2250,0.0044444444444444444,6698,5632,100.0,2
50,2250,0.022222222222222223,24297,5710,100.0,2
100,2250,0.044444444444444446,43620,5656,100.0,2
200,2250,0.08888888888888889,91175,5672,100.0,2
300,2250,0.13333333333333333,128803,5673,100.0,2
400,2250,0.17777777777777778,168783,5634,100.0,2
500,2250,0.2222222222222222,214941,5655,100.0,2
750,2250,0.3333333333333333,322174,5692,100.0,2
10,3000,0.0033333333333333335,8611,7547,100.0,2
50,3000,0.016666666666666666,27127,7512,100.0,2
100,3000,0.03333333333333333,44284,7577,100.0,2
200,3000,0.06666666666666667,90265,7592,100.0,2
300,3000,0.1,133360,7605,100.0,2
400,3000,0.13333333333333333,178028,7559,100.0,2
500,3000,0.16666666666666666,220976,7580,100.0,2
750,3000,0.25,322924,7591,100.0,2
10,400,0.025,4420,990,100.0,3
50,400,0.125,22947,988,100.0,3
100,400,0.25,45050,1019,100.0,3
200,400,0.5,86397,1003,100.0,3
300,400,0.75,124435,1036,100.0,3
400,400,1.0,169649,982,100.0,3
500,400,1.25,212893,1007,100.0,3
750,400,1.875,320324,1052,100.0,3
10,500,0.02,4882,1244,99.75942261427426,3
50,500,0.1,19781,1271,100.0,3
100,500,0.2,38494,1250,100.0,3
200,500,0.4,87582,1291,100.0,3
300,500,0.6,133483,1236,100.0,3
400,500,0.8,169941,1241,100.0,3
500,500,1.0,215203,1271,100.0,3
750,500,1.5,320424,1251,100.0,3
10,750,0.013333333333333334,6117,1912,100.0,3
50,750,0.06666666666666667,23729,1848,100.0,3
100,750,0.13333333333333333,45267,1868,100.0,3
200,750,0.26666666666666666,83489,1902,100.0,3
300,750,0.4,131157,1891,100.0,3
400,750,0.5333333333333333,173338,1908,100.0,3
500,750,0.6666666666666666,217980,1903,100.0,3
750,750,1.0,320674,1901,100.0,3
10,1500,0.006666666666666667,6440,3804,100.0,3
50,1500,0.03333333333333333,21070,3785,100.0,3
100,1500,0.06666666666666667,46773,3752,100.0,3
200,1500,0.13333333333333333,84294,3769,100.0,3
300,1500,0.2,131500,3773,100.0,3
400,1500,0.26666666666666666,162961,3814,100.0,3
500,1500,0.3333333333333333,217366,3813,100.0,3
750,1500,0.5,321424,3776,100.0,3
10,2250,0.0044444444444444444,6850,5677,100.0,3
50,2250,0.022222222222222223,24239,5696,100.0,3
100,2250,0.044444444444444446,46486,5659,100.0,3
200,2250,0.08888888888888889,87474,5650,100.0,3
300,2250,0.13333333333333333,135307,5663,100.0,3
400,2250,0.17777777777777778,171807,5617,100.0,3
500,2250,0.2222222222222222,209083,5628,100.0,3
750,2250,0.3333333333333333,322174,5673,100.0,3
10,3000,0.0033333333333333335,7308,7549,100.0,3
50,3000,0.016666666666666666,25431,7513,100.0,3
100,3000,0.03333333333333333,47729,7515,100.0,3
200,3000,0.06666666666666667,90634,7541,100.0,3
300,3000,0.1,127991,7577,100.0,3
400,3000,0.13333333333333333,174930,7552,100.0,3
500,3000,0.16666666666666666,215584,7573,100.0,3
750,3000,0.25,322924,7549,100.0,3
10,400,0.025,7132,1008,100.0,4
50,400,0.125,26100,1023,100.0,4
100,400,0.25,46532,1000,100.0,4
200,400,0.5,87680,988,100.0,4
300,400,0.75,128826,1049,100.0,4
400,400,1.0,169126,1009,100.0,4
500,400,1.25,217263,983,100.0,4
750,400,1.875,320324,1019,100.0,4
10,500,0.02,5314,1231,100.0,4
50,500,0.1,26746,1258,100.0,4
100,500,0.2,43699,1263,100.0,4
200,500,0.4,88715,1281,100.0,4
300,500,0.6,127007,1287,100.0,4
400,500,0.8,171727,1245,100.0,4
500,500,1.0,215385,1247,100.0,4
750,500,1.5,320424,1306,100.0,4
10,750,0.013333333333333334,5990,1910,100.0,4
50,750,0.06666666666666667,20956,1892,100.0,4
100,750,0.13333333333333333,45407,1896,100.0,4
200,750,0.26666666666666666,86230,1895,100.0,4
300,750,0.4,130852,1892,100.0,4
400,750,0.5333333333333333,172403,1918,100.0,4
500,750,0.6666666666666666,215038,1843,100.0,4
750,750,1.0,320674,1903,100.0,4
10,1500,0.006666666666666667,6907,3844,100.0,4
50,1500,0.03333333333333333,21030,3709,100.0,4
100,1500,0.06666666666666667,48944,3802,100.0,4
200,1500,0.13333333333333333,86675,3788,100.0,4
300,1500,0.2,128211,3766,100.0,4
400,1500,0.26666666666666666,174990,3836,100.0,4
500,1500,0.3333333333333333,216267,3819,100.0,4
750,1500,0.5,321424,3809,100.0,4
10,2250,0.0044444444444444444,6915,5653,100.0,4
50,2250,0.022222222222222223,21897,5657,100.0,4
100,2250,0.044444444444444446,43352,5746,100.0,4
200,2250,0.08888888888888889,87175,5628,100.0,4
300,2250,0.13333333333333333,136258,5696,100.0,4
400,2250,0.17777777777777778,171599,5694,100.0,4
500,2250,0.2222222222222222,213697,5732,100.0,4
750,2250,0.3333333333333333,322174,5722,100.0,4
10,3000,0.0033333333333333335,8207,7521,100.0,4
50,3000,0.016666666666666666,25872,7500,100.0,4
100,3000,0.03333333333333333,41716,7555,100.0,4
200,3000,0.06666666666666667,85266,7571,100.0,4
300,3000,0.1,130834,7576,100.0,4
400,3000,0.13333333333333333,173256,7529,100.0,4
500,3000,0.16666666666666666,215165,7546,100.0,4
750,3000,0.25,322924,7568,100.0,4
10,400,0.025,4748,990,100.0,5
50,400,0.125,21532,966,100.0,5
100,400,0.25,41927,1008,100.0,5
200,400,0.5,85043,1012,100.0,5
300,400,0.75,128012,992,100.0,5
400,400,1.0,171158,1032,100.0,5
500,400,1.25,212792,1005,100.0,5
750,400,1.875,320324,1031,100.0,5
10,500,0.02,5896,1251,100.0,5
50,500,0.1,21221,1223,100.0,5
100,500,0.2,41801,1253,100.0,5
200,500,0.4,84590,1283,100.0,5
300,500,0.6,121492,1265,100.0,5
400,500,0.8,174445,1249,100.0,5
500,500,1.0,219634,1242,100.0,5
750,500,1.5,320424,1256,100.0,5
10,750,0.013333333333333334,6156,1945,100.0,5
50,750,0.06666666666666667,24409,1876,100.0,5
100,750,0.13333333333333333,43117,1903,100.0,5
200,750,0.26666666666666666,88804,1867,100.0,5
300,750,0.4,131101,1880,100.0,5
400,750,0.5333333333333333,168313,1855,100.0,5
500,750,0.6666666666666666,214730,1891,100.0,5
750,750,1.0,320674,1889,100.0,5
