num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward, iter
10,400,0.025,6508,1015,100.0,0
50,400,0.125,25049,968,100.0,0
100,400,0.25,42815,989,100.0,0
200,400,0.5,85155,1037,100.0,0
300,400,0.75,130611,973,100.0,0
400,400,1.0,175236,1021,100.0,0
500,400,1.25,215644,1003,100.0,0
750,400,1.875,320324,1016,100.0,0
10,500,0.02,5392,1275,100.0,0
50,500,0.1,25191,1235,100.0,0
100,500,0.2,48206,1269,100.0,0
200,500,0.4,82933,1199,100.0,0
300,500,0.6,132039,1263,100.0,0
400,500,0.8,169321,1237,100.0,0
500,500,1.0,213293,1259,100.0,0
750,500,1.5,320424,1223,100.0,0
10,750,0.013333333333333334,5490,1890,99.78880675818374,0
50,750,0.06666666666666667,22958,1895,100.0,0
100,750,0.13333333333333333,44624,1864,100.0,0
200,750,0.26666666666666666,88171,1906,100.0,0
300,750,0.4,130013,1884,100.0,0
400,750,0.5333333333333333,172967,1885,100.0,0
500,750,0.6666666666666666,216036,1919,100.0,0
750,750,1.0,320674,1907,100.0,0
10,1500,0.006666666666666667,7810,3797,99.84222981856429,0
50,1500,0.03333333333333333,24809,3776,100.0,0
100,1500,0.06666666666666667,46025,3744,100.0,0
200,1500,0.13333333333333333,81829,3732,100.0,0
300,1500,0.2,132451,3786,100.0,0
400,1500,0.26666666666666666,176926,3731,100.0,0
500,1500,0.3333333333333333,212762,3774,100.0,0
750,1500,0.5,321424,3769,100.0,0
10,2250,0.0044444444444444444,8013,5691,100.0,0
50,2250,0.022222222222222223,25813,5652,100.0,0
100,2250,0.044444444444444446,47788,5640,100.0,0
200,2250,0.08888888888888889,85785,5648,100.0,0
300,2250,0.13333333333333333,126140,5655,100.0,0
400,2250,0.17777777777777778,178440,5640,100.0,0
500,2250,0.2222222222222222,210847,5675,100.0,0
750,2250,0.3333333333333333,322174,5696,100.0,0
10,3000,0.0033333333333333335,7435,7516,99.47061937533086,0
50,3000,0.016666666666666666,27108,7530,100.0,0
100,3000,0.03333333333333333,46108,7551,100.0,0
200,3000,0.06666666666666667,88327,7546,100.0,0
300,3000,0.1,130819,7558,100.0,0
400,3000,0.13333333333333333,178163,7597,100.0,0
500,3000,0.16666666666666666,214656,7517,100.0,0
750,3000,0.25,322924,7595,100.0,0
10,400,0.025,4265,1022,100.0,1
50,400,0.125,24971,989,100.0,1
100,400,0.25,44065,1031,100.0,1
200,400,0.5,89364,999,100.0,1
300,400,0.75,129232,1010,100.0,1
400,400,1.0,173248,1020,100.0,1
500,400,1.25,211152,1018,100.0,1
750,400,1.875,320324,1015,100.0,1
10,500,0.02,6041,1254,99.44488501189532,1
50,500,0.1,23549,1245,100.0,1
100,500,0.2,44543,1273,100.0,1
200,500,0.4,81857,1318,100.0,1
300,500,0.6,134603,1301,100.0,1
400,500,0.8,172572,1259,100.0,1
500,500,1.0,212139,1275,100.0,1
750,500,1.5,320424,1218,100.0,1
10,750,0.013333333333333334,5905,1878,100.0,1
50,750,0.06666666666666667,21647,1928,100.0,1
100,750,0.13333333333333333,45305,1849,100.0,1
200,750,0.26666666666666666,90219,1901,100.0,1
300,750,0.4,128590,1893,100.0,1
400,750,0.5333333333333333,178136,1952,100.0,1
500,750,0.6666666666666666,211833,1864,100.0,1
750,750,1.0,320674,1905,100.0,1
10,1500,0.006666666666666667,6236,3769,99.81461864406779,1
50,1500,0.03333333333333333,21352,3768,100.0,1
100,1500,0.06666666666666667,46593,3814,100.0,1
200,1500,0.13333333333333333,83789,3752,100.0,1
300,1500,0.2,129077,3786,100.0,1
400,1500,0.26666666666666666,172290,3789,100.0,1
500,1500,0.3333333333333333,213603,3764,100.0,1
750,1500,0.5,321424,3871,100.0,1
10,2250,0.0044444444444444444,7205,5678,100.0,1
50,2250,0.022222222222222223,22046,5695,100.0,1
100,2250,0.044444444444444446,47239,5681,100.0,1
200,2250,0.08888888888888889,88636,5605,100.0,1
300,2250,0.13333333333333333,133233,5635,100.0,1
400,2250,0.17777777777777778,171871,5690,100.0,1
500,2250,0.2222222222222222,221278,5677,100.0,1
750,2250,0.3333333333333333,322174,5739,100.0,1
10,3000,0.0033333333333333335,7730,7535,100.0,1
50,3000,0.016666666666666666,27164,7606,100.0,1
100,3000,0.03333333333333333,49421,7539,100.0,1
200,3000,0.06666666666666667,82856,7631,100.0,1
300,3000,0.1,129695,7561,100.0,1
400,3000,0.13333333333333333,177237,7501,100.0,1
500,3000,0.16666666666666666,215695,7554,100.0,1
750,3000,0.25,322924,7559,100.0,1
10,400,0.025,4138,997,99.6003996003996,2
50,400,0.125,23223,1010,100.0,2
100,400,0.25,43394,940,100.0,2
200,400,0.5,86358,992,100.0,2
300,400,0.75,133105,1003,100.0,2
400,400,1.0,167434,999,100.0,2
500,400,1.25,213277,1014,100.0,2
750,400,1.875,320324,1009,100.0,2
