num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward,iter
10,400,0.025,4604,986,100.0,0
50,400,0.125,22162,1011,100.0,0
100,400,0.25,41335,1000,100.0,0
200,400,0.5,85692,1003,100.0,0
300,400,0.75,128944,1007,100.0,0
400,400,1.0,171151,991,100.0,0
500,400,1.25,216457,977,100.0,0
750,400,1.875,320324,1035,100.0,0
10,500,0.02,5464,1244,100.0,0
50,500,0.1,22474,1289,99.6906419180201,0
100,500,0.2,43063,1278,100.0,0
200,500,0.4,85383,1252,100.0,0
300,500,0.6,130323,1278,100.0,0
400,500,0.8,172127,1255,100.0,0
500,500,1.0,217329,1263,100.0,0
750,500,1.5,320424,1238,100.0,0
10,750,0.013333333333333334,6432,1882,100.0,0
50,750,0.06666666666666667,22436,1857,100.0,0
100,750,0.13333333333333333,47537,1914,100.0,0
200,750,0.26666666666666666,86189,1893,100.0,0
300,750,0.4,127071,1904,100.0,0
400,750,0.5333333333333333,169668,1897,100.0,0
500,750,0.6666666666666666,213863,1865,100.0,0
750,750,1.0,320674,1866,100.0,0
10,1500,0.006666666666666667,7415,3824,100.0,0
50,1500,0.03333333333333333,21411,3753,100.0,0
100,1500,0.06666666666666667,46552,3758,100.0,0
200,1500,0.13333333333333333,87036,3672,100.0,0
300,1500,0.2,130535,3829,100.0,0
400,1500,0.26666666666666666,175960,3817,100.0,0
500,1500,0.3333333333333333,215150,3780,100.0,0
750,1500,0.5,321424,3784,100.0,0
10,2250,0.0044444444444444444,7671,5619,100.0,0
50,2250,0.022222222222222223,25501,5696,100.0,0
100,2250,0.044444444444444446,48519,5619,100.0,0
200,2250,0.08888888888888889,87136,5671,100.0,0
300,2250,0.13333333333333333,131287,5597,100.0,0
400,2250,0.17777777777777778,180616,5647,100.0,0
500,2250,0.2222222222222222,217897,5611,100.0,0
750,2250,0.3333333333333333,322174,5673,100.0,0
10,3000,0.0033333333333333335,10087,7470,100.0,0
50,3000,0.016666666666666666,26690,7534,100.0,0
100,3000,0.03333333333333333,45589,7457,100.0,0
200,3000,0.06666666666666667,89893,7556,100.0,0
300,3000,0.1,131421,7532,100.0,0
400,3000,0.13333333333333333,171702,7493,100.0,0
500,3000,0.16666666666666666,214051,7501,100.0,0
750,3000,0.25,322924,7518,100.0,0
10,400,0.025,5525,998,100.0,1
50,400,0.125,22741,1006,100.0,1
100,400,0.25,42722,1009,100.0,1
200,400,0.5,87345,1011,100.0,1
300,400,0.75,127656,987,100.0,1
400,400,1.0,176380,1008,100.0,1
500,400,1.25,212336,1002,100.0,1
750,400,1.875,320324,1009,100.0,1
10,500,0.02,4034,1242,100.0,1
50,500,0.1,21693,1289,100.0,1
100,500,0.2,39800,1234,100.0,1
200,500,0.4,85431,1229,100.0,1
300,500,0.6,126099,1236,100.0,1
400,500,0.8,172799,1270,100.0,1
500,500,1.0,214691,1277,100.0,1
750,500,1.5,320424,1275,100.0,1
10,750,0.013333333333333334,5710,1944,100.0,1
50,750,0.06666666666666667,20239,1900,100.0,1
100,750,0.13333333333333333,44737,1885,100.0,1
200,750,0.26666666666666666,89478,1895,100.0,1
300,750,0.4,128091,1898,100.0,1
400,750,0.5333333333333333,176483,1907,100.0,1
