num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward, iter
10,400,0.025,4716,974,100.0,0
50,400,0.125,22138,968,100.0,0
100,400,0.25,45349,1000,100.0,0
200,400,0.5,87699,980,100.0,0
300,400,0.75,125258,991,100.0,0
400,400,1.0,171476,1035,100.0,0
500,400,1.25,217005,974,100.0,0
750,400,1.875,320324,984,100.0,0
10,500,0.02,5398,1253,99.76114649681529,0
50,500,0.1,22921,1239,100.0,0
100,500,0.2,44172,1250,100.0,0
200,500,0.4,82982,1232,100.0,0
300,500,0.6,129595,1263,100.0,0
400,500,0.8,169192,1258,100.0,0
500,500,1.0,211714,1263,100.0,0
750,500,1.5,320424,1217,100.0,0
10,750,0.013333333333333334,5800,1864,100.0,0
50,750,0.06666666666666667,22607,1884,100.0,0
100,750,0.13333333333333333,44936,1848,100.0,0
200,750,0.26666666666666666,88529,1895,100.0,0
300,750,0.4,136605,1841,100.0,0
400,750,0.5333333333333333,168893,1904,100.0,0
500,750,0.6666666666666666,214817,1849,100.0,0
750,750,1.0,320674,1849,100.0,0
10,1500,0.006666666666666667,6904,3745,99.97330485851576,0
50,1500,0.03333333333333333,25251,3706,100.0,0
100,1500,0.06666666666666667,40118,3764,100.0,0
200,1500,0.13333333333333333,92556,3744,100.0,0
300,1500,0.2,127350,3753,100.0,0
400,1500,0.26666666666666666,175447,3753,100.0,0
500,1500,0.3333333333333333,219992,3721,100.0,0
750,1500,0.5,321424,3779,100.0,0
10,2250,0.0044444444444444444,7736,5629,100.0,0
50,2250,0.022222222222222223,21969,5618,100.0,0
100,2250,0.044444444444444446,42990,5625,100.0,0
200,2250,0.08888888888888889,85652,5622,100.0,0
300,2250,0.13333333333333333,130143,5581,100.0,0
400,2250,0.17777777777777778,166498,5600,100.0,0
500,2250,0.2222222222222222,213091,5613,100.0,0
750,2250,0.3333333333333333,322174,5647,100.0,0
10,3000,0.0033333333333333335,7550,7466,100.0,0
50,3000,0.016666666666666666,24477,7505,100.0,0
100,3000,0.03333333333333333,46951,7448,100.0,0
200,3000,0.06666666666666667,87363,7474,100.0,0
300,3000,0.1,131032,7446,100.0,0
400,3000,0.13333333333333333,171276,7504,100.0,0
500,3000,0.16666666666666666,221892,7438,100.0,0
750,3000,0.25,322924,7476,100.0,0
10,400,0.025,5461,1023,100.0,1
50,400,0.125,24879,1011,100.0,1
100,400,0.25,42264,999,100.0,1
200,400,0.5,84452,1024,100.0,1
300,400,0.75,131257,995,100.0,1
400,400,1.0,177657,999,100.0,1
500,400,1.25,218339,988,100.0,1
750,400,1.875,320324,988,100.0,1
10,500,0.02,4553,1272,99.68652037617555,1
50,500,0.1,21491,1237,100.0,1
100,500,0.2,44251,1219,100.0,1
200,500,0.4,89909,1238,100.0,1
300,500,0.6,127746,1249,100.0,1
400,500,0.8,172607,1250,100.0,1
500,500,1.0,212060,1213,100.0,1
750,500,1.5,320424,1229,100.0,1
10,750,0.013333333333333334,5499,1852,99.51638903815153,1
50,750,0.06666666666666667,22456,1865,100.0,1
100,750,0.13333333333333333,43769,1822,100.0,1
200,750,0.26666666666666666,82868,1902,100.0,1
300,750,0.4,133619,1910,100.0,1
400,750,0.5333333333333333,168750,1868,100.0,1
