num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward
1,100,0.01,599,92,36.36363636363637
10,100,0.1,2575,253,97.68339768339769
15,100,0.15,2838,249,100.0
20,100,0.2,4200,257,100.0
25,100,0.25,4178,253,100.0
30,100,0.3,6136,252,100.0
35,100,0.35,7467,245,100.0
40,100,0.4,9775,253,100.0
45,100,0.45,9282,258,100.0
50,100,0.5,9750,223,100.0
55,100,0.55,9724,247,100.0
60,100,0.6,11516,264,100.0
65,100,0.65,12623,263,100.0
70,100,0.7,13174,265,100.0
75,100,0.75,12990,254,100.0
1,200,0.005,621,366,73.2
10,200,0.05,1591,500,98.61932938856016
15,200,0.075,2848,502,100.0
20,200,0.1,4314,501,100.0
25,200,0.125,5010,491,100.0
30,200,0.15,5925,501,99.800796812749
35,200,0.175,8169,530,100.0
40,200,0.2,7901,502,100.0
45,200,0.225,8785,517,99.23224568138195
50,200,0.25,10460,524,100.0
55,200,0.275,11482,500,100.0
60,200,0.3,11124,521,100.0
65,200,0.325,12242,531,100.0
70,200,0.35,13838,507,100.0
75,200,0.375,14317,506,100.0
1,300,0.0033333333333333335,853,527,68.26424870466322
10,300,0.03333333333333333,2524,742,99.5973154362416
15,300,0.05,3524,749,100.0
20,300,0.06666666666666667,5069,715,100.0
25,300,0.08333333333333333,4717,760,100.0
30,300,0.1,5792,755,100.0
35,300,0.11666666666666667,7285,785,100.0
40,300,0.13333333333333333,7739,749,99.46879150066401
45,300,0.15,8995,734,100.0
50,300,0.16666666666666666,9110,769,100.0
55,300,0.18333333333333332,10905,715,100.0
60,300,0.2,11732,731,100.0
65,300,0.21666666666666667,12403,747,100.0
70,300,0.23333333333333334,13220,751,100.0
75,300,0.25,15043,754,100.0
1,400,0.0025,1104,255,25.757575757575758
10,400,0.025,2242,996,99.6
15,400,0.0375,3455,973,99.59058341862846
20,400,0.05,3968,1024,99.80506822612085
25,400,0.0625,5087,988,100.0
30,400,0.075,6077,997,99.7
35,400,0.0875,8038,984,100.0
40,400,0.1,7597,1021,100.0
45,400,0.1125,9481,1027,100.0
50,400,0.125,9329,1005,100.0
55,400,0.1375,11221,984,100.0
60,400,0.15,12914,982,100.0
65,400,0.1625,12092,1014,100.0
70,400,0.175,14405,1009,100.0
75,400,0.1875,14089,980,100.0
1,500,0.002,787,53,4.153605015673981
10,500,0.02,2991,1259,99.2119779353822
15,500,0.03,2947,1247,98.96825396825398
20,500,0.04,3836,1264,99.84202211690362
25,500,0.05,5302,1231,99.67611336032388
30,500,0.06,6704,1243,99.83935742971887
35,500,0.07,8426,1239,100.0
40,500,0.08,7847,1208,100.0
45,500,0.09,8922,1253,100.0
50,500,0.1,10320,1248,100.0
55,500,0.11,10971,1255,100.0
60,500,0.12,11830,1262,100.0
65,500,0.13,14505,1254,100.0
70,500,0.14,14417,1245,100.0
75,500,0.15,14487,1255,100.0
1,699,0.001430615164520744,1126,281,15.965909090909092
10,699,0.01430615164520744,2984,1779,99.21918572225321
15,699,0.02145922746781116,3724,1784,99.88801791713325
20,699,0.02861230329041488,4760,1711,99.94158878504673
25,699,0.0357653791130186,5460,1750,100.0
30,699,0.04291845493562232,7206,1753,99.8860398860399
35,699,0.05007153075822604,7373,1784,99.83212087297146
40,699,0.05722460658082976,9155,1797,100.0
45,699,0.06437768240343347,8867,1779,100.0
50,699,0.0715307582260372,10914,1704,100.0
55,699,0.07868383404864092,10754,1734,100.0
60,699,0.08583690987124463,12433,1759,100.0
65,699,0.09298998569384835,14145,1737,100.0
70,699,0.10014306151645208,13164,1758,100.0
75,699,0.1072961373390558,15239,1737,100.0
